tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer
1441,48.0,2473,220,32,273,2197,1,2,780,327.28,1.116,1.381,0.127,0.055,0.108,-0.870,1.547,0.4124,2.7791,0.795,0.022,0.037,0.078,0.129,51,138,58,0,120,0,83468.16,3471.908,25560.883,29.342,1723.460,9.116,19424.930,9230.142,1361.861,7848.554,6278.843,2018.273,324.225,401.592,0.000135,-0.007173,286,0,46,12,56,44,15130,2,12,19.441
1471,49.0,2317,208,32,276,2039,0,2,689,333.28,1.110,1.373,0.125,0.054,0.114,-0.871,1.544,0.4126,2.7938,0.790,0.025,0.035,0.078,0.129,50,138,58,0,115,0,77764.29,3210.680,23593.863,13.314,1596.646,7.276,18422.454,8699.207,1238.159,6684.586,5347.669,2189.110,227.999,407.886,0.000139,-0.007777,265,0,54,4,58,54,13682,0,4,10.088
1501,50.0,2199,191,31,275,1922,0,2,658,364.79,1.108,1.368,0.127,0.054,0.118,-0.872,1.545,0.4071,2.8142,0.781,0.022,0.034,0.078,0.128,38,125,36,0,99,0,73218.25,3106.138,22628.899,13.763,1579.135,7.418,17318.473,8163.870,1137.626,6137.350,4909.880,1636.732,461.552,349.117,0.000159,-0.006940,254,0,30,6,36,30,13318,5,6,11.647
1531,51.0,2050,221,31,275,1775,0,0,584,344.27,1.104,1.360,0.124,0.055,0.125,-0.872,1.542,0.4073,2.8358,0.840,0.011,0.033,0.079,0.126,51,142,41,0,98,0,67115.20,2961.727,18797.987,17.889,1588.596,5.916,16315.015,7681.861,1027.083,5688.743,4550.994,1174.402,223.948,320.603,0.000114,-0.007576,275,0,31,10,41,31,12196,16,10,17.489
1561,52.0,1939,205,31,278,1661,0,0,519,369.09,1.100,1.349,0.122,0.054,0.132,-0.873,1.538,0.4028,2.8452,0.818,0.007,0.033,0.080,0.124,58,129,29,0,74,0,62505.02,2886.102,18345.609,5.571,1377.812,6.659,15209.766,7139.811,906.344,5210.871,4168.697,936.690,324.192,288.482,0.000132,-0.007969,242,0,24,5,29,24,11000,22,5,4.221
1591,53.0,1801,210,31,281,1520,0,0,458,355.33,1.085,1.335,0.124,0.052,0.142,-0.874,1.540,0.4138,2.8684,0.831,0.014,0.039,0.081,0.123,69,145,27,0,70,0,57287.12,2784.871,15713.769,3.988,1420.257,6.848,14148.719,6630.377,797.095,4361.515,3489.212,870.377,115.564,286.086,0.000154,-0.007795,318,0,23,4,27,23,10156,78,4,3.743
1621,54.0,1687,190,31,287,1400,0,0,395,361.86,1.074,1.321,0.124,0.052,0.152,-0.877,1.543,0.4092,2.8799,0.839,0.010,0.044,0.081,0.122,48,135,18,0,65,0,54073.93,2772.809,15734.899,4.823,1141.930,7.040,13065.560,6155.829,690.109,4406.541,3525.233,488.488,215.469,228.970,0.000144,-0.008929,258,0,14,4,18,14,10124,78,4,4.722
1651,55.0,1557,185,29,291,1266,0,0,337,339.43,1.063,1.302,0.126,0.054,0.163,-0.880,1.547,0.4110,2.8690,0.825,0.014,0.045,0.082,0.120,47,146,15,0,56,0,50542.43,2657.368,13677.978,13.676,1074.959,6.485,12060.395,5616.270,587.961,3731.880,2985.504,508.162,172.361,188.995,0.000101,-0.007950,207,0,11,4,15,11,9209,33,4,13.636
1681,56.0,1475,208,29,297,1178,0,0,279,322.79,1.053,1.287,0.124,0.054,0.173,-0.881,1.545,0.4070,2.9095,0.824,0.007,0.042,0.084,0.119,54,109,7,0,48,0,47340.53,2610.989,12324.221,8.949,1266.371,6.962,11150.785,5126.026,493.059,3456.108,2764.887,298.313,172.252,214.398,0.000113,-0.006884,238,0,4,3,7,4,8320,37,3,8.921
1711,57.0,1382,232,29,301,1081,0,0,237,386.79,1.038,1.270,0.120,0.053,0.184,-0.881,1.549,0.4096,2.9264,0.819,0.013,0.043,0.084,0.116,60,124,6,0,36,0,44375.51,2597.492,11286.344,3.377,1006.817,7.661,10418.828,4801.696,407.472,3051.749,2441.399,308.010,116.750,189.132,0.000164,-0.005924,206,0,4,2,6,4,7791,48,2,3.347
