tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual
11491,383.0,2606,345,35,638,1968,0,0,43,125.14,1.565,1.428,2.264,0.367,0.277,-0.964,1.983,0.3213,1.5992,0.658,0.000,0.002,0.186,-0.078,147,239,103,0,8,0,102098.46,16723.237,69969.855,0.421,12872.885,43.927,62624.200,8466.968,59.146,26146.362,20917.090,4809.129,521.091,1018.933,0.000231,-0.074939
11521,384.0,2724,348,35,645,2079,0,0,57,131.45,1.578,1.440,2.287,0.360,0.270,-0.965,1.985,0.3226,1.6054,0.658,0.000,0.002,0.186,-0.078,154,240,99,1,5,0,106256.12,17095.893,73624.440,0.377,13422.641,44.028,66109.275,8924.965,73.904,27047.207,21637.766,4632.819,392.205,1020.434,0.000247,-0.075234
11551,385.0,2806,343,35,653,2153,0,0,62,133.11,1.585,1.447,2.305,0.363,0.268,-0.965,1.984,0.3174,1.5996,0.658,0.000,0.001,0.187,-0.078,154,261,117,1,11,0,108737.34,17880.905,75026.465,0.510,14035.235,42.413,68947.229,9386.573,94.812,27547.434,22037.947,4956.194,495.164,1037.215,0.000202,-0.075471
11581,386.0,2889,298,35,666,2223,0,0,72,177.66,1.589,1.449,2.313,0.369,0.266,-0.966,1.978,0.3186,1.6050,0.648,0.000,0.002,0.188,-0.080,152,327,86,2,10,0,110981.18,17869.448,77084.744,0.816,14528.922,51.357,71316.138,9875.612,99.797,29511.113,23608.891,3916.944,629.991,970.459,0.000255,-0.075324
11611,387.0,2910,331,35,670,2240,0,0,77,153.50,1.590,1.451,2.319,0.370,0.266,-0.966,1.977,0.3196,1.6047,0.652,0.000,0.002,0.189,-0.080,150,325,113,0,20,0,111529.62,18259.197,77736.810,0.802,14043.325,43.391,72938.192,9975.555,118.967,28111.622,22489.297,5276.424,392.431,1124.480,0.000217,-0.074069
11641,388.0,2932,296,35,674,2258,0,0,85,174.52,1.591,1.453,2.327,0.376,0.266,-0.966,1.972,0.3209,1.6045,0.653,0.000,0.000,0.189,-0.078,144,329,121,1,15,0,113300.58,18284.320,80311.604,0.739,14195.752,46.817,74165.876,10093.313,115.981,28607.818,22886.254,5165.869,453.344,1109.757,0.000219,-0.072648
11671,389.0,2916,313,35,677,2239,0,0,91,159.61,1.588,1.453,2.333,0.383,0.268,-0.965,1.973,0.3234,1.6117,0.662,0.000,0.001,0.190,-0.080,140,308,158,2,17,0,112718.55,19028.314,78822.493,0.656,14764.591,44.188,73662.606,10038.628,129.103,27410.889,21928.712,7273.909,441.740,1405.320,0.000258,-0.071845
11701,390.0,2888,326,36,688,2200,0,0,95,146.62,1.578,1.445,2.328,0.392,0.273,-0.965,1.972,0.3230,1.5987,0.663,0.000,0.002,0.189,-0.081,135,313,170,1,19,0,111347.89,19537.548,77360.217,0.836,15012.622,49.727,73267.440,9868.165,133.307,27642.307,22113.846,7530.470,512.940,1428.483,0.000244,-0.073326
11731,391.0,2951,301,36,693,2258,0,0,104,113.68,1.583,1.451,2.337,0.402,0.270,-0.965,1.974,0.3198,1.5914,0.667,0.001,0.001,0.189,-0.084,145,306,126,1,10,0,114980.59,19523.470,81059.092,0.513,15719.548,42.368,73406.744,9787.729,148.366,29663.833,23731.066,5948.863,474.827,1251.072,0.000160,-0.073244
11761,392.0,2934,304,36,692,2242,0,0,106,188.52,1.582,1.448,2.336,0.408,0.272,-0.965,1.973,0.3190,1.6033,0.658,0.000,0.002,0.189,-0.085,160,315,153,2,17,0,113315.04,19802.623,77275.049,0.662,15327.235,45.470,74428.319,9900.467,152.953,27510.208,22008.166,6901.137,472.382,1386.597,0.000288,-0.070459
