tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual
661,22.0,4870,496,61,1464,3384,2,20,453,194.50,0.692,1.037,0.079,0.056,0.240,-0.866,1.491,0.4156,2.7668,0.532,0.110,0.033,0.086,-0.066,115,110,183,0,27,0,168446.02,15987.530,38892.921,45.799,798.948,12.198,18847.919,9189.467,627.487,23908.427,19126.742,5236.763,1924.874,1046.205,0.000262,0.025508
691,23.0,5263,480,61,1752,3494,3,14,712,198.60,0.684,1.011,0.079,0.054,0.260,-0.874,1.494,0.4205,2.7871,0.518,0.099,0.028,0.085,-0.063,119,118,243,0,50,0,180164.08,19091.221,39589.727,57.644,1145.347,13.406,20166.363,9710.798,979.292,27054.596,21643.677,7574.497,1978.496,1200.168,0.000313,0.027059
721,24.0,5707,483,61,2053,3640,2,12,1172,222.13,0.676,0.991,0.081,0.052,0.277,-0.878,1.494,0.4233,2.8337,0.497,0.095,0.027,0.085,-0.060,120,113,211,0,56,0,194670.27,21961.601,41118.424,48.450,1268.509,17.278,21611.814,10301.873,1624.153,27517.984,22014.388,6729.109,1879.254,972.482,0.000349,0.030090
751,25.0,5998,462,56,2345,3640,2,11,1796,201.17,0.669,0.969,0.085,0.051,0.296,-0.883,1.492,0.4299,2.8627,0.489,0.107,0.041,0.084,-0.056,124,120,287,0,95,0,210442.12,25321.814,44452.112,44.849,1743.565,14.936,22945.600,10842.108,2577.996,26499.488,21199.590,8947.767,1810.048,1623.507,0.000451,0.035989
781,26.0,6000,453,56,2522,3465,2,11,2628,198.71,0.663,0.943,0.087,0.051,0.314,-0.886,1.495,0.4299,2.8457,0.484,0.182,0.090,0.084,-0.053,110,88,290,0,116,0,226893.27,27929.020,43641.314,79.501,2463.815,16.060,23294.339,10701.487,3946.070,16616.120,13292.896,10123.084,2060.594,1749.902,0.000414,0.038885
811,27.0,5992,488,56,2695,3286,1,10,3352,189.15,0.657,0.917,0.090,0.050,0.331,-0.889,1.492,0.4290,2.8573,0.481,0.249,0.136,0.085,-0.049,115,72,251,0,182,0,242071.69,29966.021,43619.860,63.390,3604.528,19.957,23082.566,10473.823,5445.471,16651.435,13321.148,11060.663,3129.273,1948.765,0.000407,0.036528
841,28.0,6000,493,56,2927,3064,1,8,3858,241.79,0.648,0.882,0.092,0.048,0.354,-0.891,1.494,0.4301,2.8492,0.487,0.286,0.158,0.084,-0.044,129,45,271,0,249,0,254679.62,32330.723,42536.424,62.671,3643.559,24.511,22749.183,10080.966,6558.285,18965.407,15172.326,13038.451,3802.822,2299.092,0.000419,0.031922
871,29.0,6000,504,56,3151,2841,2,6,4283,229.67,0.638,0.849,0.095,0.048,0.376,-0.894,1.494,0.4316,2.8633,0.465,0.305,0.199,0.085,-0.040,133,24,229,0,241,0,267736.00,34845.911,41417.616,34.970,4656.037,22.735,22409.454,9498.251,7454.086,15976.926,12781.541,12331.673,5756.536,2596.745,0.000373,0.027369
901,30.0,6000,536,53,3335,2659,2,4,4540,242.26,0.633,0.823,0.097,0.048,0.394,-0.897,1.495,0.4356,2.8539,0.482,0.337,0.240,0.085,-0.036,155,28,229,0,200,0,282789.47,37340.569,42609.524,61.857,5138.360,23.315,22138.611,9009.557,8064.953,15092.846,12074.277,12850.164,7204.259,2672.349,0.000464,0.021382
931,31.0,6000,585,53,3530,2465,2,3,4612,262.54,0.623,0.794,0.100,0.048,0.414,-0.899,1.496,0.4405,2.8141,0.488,0.368,0.281,0.085,-0.032,156,9,224,0,220,0,297476.81,40100.089,42966.837,61.603,6469.248,29.090,21949.852,8455.006,8442.264,14535.702,11628.562,14243.547,9497.550,2945.814,0.000407,0.016787
961,32.0,5995,621,53,3702,2288,2,3,4573,249.61,0.615,0.766,0.103,0.048,0.430,-0.901,1.499,0.4395,2.7806,0.468,0.388,0.316,0.085,-0.029,171,9,241,0,205,0,308697.09,41281.329,42455.909,60.128,6981.957,36.802,21609.481,8065.899,8512.538,14633.716,11706.973,17239.533,10983.930,3238.955,0.000477,0.015292
991,33.0,6000,628,53,3872,2125,1,2,4516,267.42,0.607,0.739,0.106,0.047,0.447,-0.903,1.501,0.4387,2.7441,0.476,0.412,0.369,0.085,-0.027,174,6,233,0,172,0,322912.16,42899.375,43723.928,70.928,6190.027,44.409,21311.726,7577.919,8395.090,13563.436,10850.749,16285.830,13154.290,3041.633,0.000332,0.013111
1021,34.0,6000,635,53,4030,1968,1,1,4468,293.85,0.598,0.714,0.108,0.046,0.462,-0.906,1.503,0.4381,2.7182,0.474,0.433,0.430,0.086,-0.024,178,10,201,0,137,0,337810.34,44187.011,42211.416,35.593,7288.640,41.966,21034.867,7166.606,8271.624,11129.784,8903.828,14791.763,14523.896,3521.124,0.000352,0.011503
1051,35.0,6000,599,49,4211,1787,1,1,4409,315.30,0.590,0.686,0.110,0.045,0.481,-0.907,1.503,0.4378,2.7190,0.475,0.451,0.472,0.086,-0.020,218,10,214,0,144,0,348323.50,45428.383,40288.637,42.472,6503.838,56.457,20736.884,6663.459,8176.129,11778.783,9423.026,17259.176,16544.252,3510.671,0.000371,0.009770
1081,36.0,6000,621,49,4353,1646,0,1,4446,276.25,0.582,0.662,0.112,0.045,0.495,-0.908,1.501,0.4383,2.7018,0.478,0.464,0.520,0.086,-0.017,211,4,180,0,126,0,357902.97,46530.236,37721.749,58.389,7621.591,62.002,20437.715,6301.431,8156.568,9728.998,7783.199,16353.291,17706.960,3829.145,0.000363,0.008668
1111,37.0,5998,697,49,4467,1530,0,1,4431,317.42,0.575,0.643,0.113,0.044,0.507,-0.909,1.502,0.4404,2.6725,0.487,0.490,0.539,0.086,-0.015,215,1,166,0,124,0,366724.12,47652.252,35962.656,36.225,7795.812,58.645,20158.559,6011.642,8136.041,9061.466,7249.173,16149.628,19196.091,3365.712,0.000371,0.008722
1141,38.0,6000,742,49,4563,1436,0,1,4437,328.48,0.569,0.627,0.115,0.044,0.516,-0.908,1.502,0.4382,2.6533,0.485,0.513,0.562,0.087,-0.013,220,10,144,0,124,0,375786.28,48190.299,34589.178,36.436,7770.154,60.334,19969.245,5693.954,8157.490,8911.565,7129.252,15384.996,19338.516,3427.250,0.000378,0.010953
1171,39.0,5999,724,49,4670,1327,0,2,4489,345.27,0.562,0.609,0.117,0.044,0.526,-0.908,1.503,0.4385,2.6092,0.482,0.530,0.585,0.087,-0.011,228,5,153,0,123,0,382458.34,47774.618,34249.102,34.160,8153.888,65.611,19755.220,5327.326,8101.873,8926.701,7141.361,16476.317,20795.485,3144.252,0.000331,0.013926
1201,40.0,6000,726,48,4776,1222,0,2,4486,360.58,0.556,0.592,0.119,0.044,0.536,-0.909,1.503,0.4392,2.5641,0.480,0.533,0.621,0.087,-0.009,235,4,138,0,109,0,386745.03,46784.710,34334.544,45.154,9865.190,74.361,19574.301,5044.729,8160.735,7952.309,6361.847,14955.929,24093.491,3458.095,0.000636,0.013626
1231,41.0,5993,694,48,4866,1125,0,2,4489,353.78,0.551,0.577,0.121,0.044,0.546,-0.909,1.502,0.4378,2.5020,0.488,0.532,0.660,0.087,-0.007,284,4,138,0,103,0,388851.16,46134.091,31038.500,34.517,9550.345,84.454,19448.214,4658.169,8100.770,7590.081,6072.065,14264.655,23448.707,3662.453,0.000555,0.007824
