tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer
10411,347.0,1159,351,21,118,1039,2,0,3,108.52,1.910,1.645,1.982,0.424,0.149,-0.947,1.448,0.3114,1.5842,0.779,0.042,0.001,0.198,0.147,58,189,131,0,2,0,54962.03,2348.424,39875.823,4850.595,618.392,18.198,31505.573,5742.854,6.529,16576.049,13260.839,4748.795,736.271,2428.556,0.000136,0.055232,83,0,121,10,7,7,2760,2,0,0.000
10441,348.0,1089,313,21,119,968,2,0,2,116.12,1.906,1.649,1.921,0.433,0.155,-0.947,1.483,0.3250,1.6130,0.755,0.042,0.002,0.196,0.143,88,161,169,0,1,0,51135.27,2067.428,36783.865,6464.983,714.757,18.860,29762.664,5730.924,3.007,15203.160,12162.528,6315.826,1402.014,2887.966,0.000184,0.054706,68,0,159,10,5,5,2451,0,0,0.000
10471,349.0,1052,292,21,111,938,3,0,3,113.06,1.906,1.656,1.865,0.441,0.153,-0.946,1.495,0.3222,1.6427,0.784,0.009,0.004,0.198,0.146,76,155,118,0,0,0,49636.68,1851.649,35302.379,4255.373,258.361,18.424,27976.642,5130.630,3.072,13719.716,10975.773,4089.644,800.340,2163.721,0.000218,0.054269,36,0,109,9,7,7,2269,0,0,0.000
10501,350.0,1013,253,21,99,912,2,0,1,120.69,1.905,1.660,1.795,0.424,0.147,-0.948,1.493,0.3426,1.6620,0.785,0.010,0.001,0.199,0.149,73,146,89,0,1,0,46839.39,1645.388,31231.392,3008.125,301.891,15.705,26572.838,5022.232,2.537,11445.163,9156.131,2849.887,296.534,1649.136,0.000115,0.053991,46,0,84,5,9,9,2241,3,0,0.000
10531,351.0,916,281,21,82,831,3,0,1,130.18,1.906,1.658,1.729,0.404,0.142,-0.946,1.480,0.3542,1.6495,0.771,0.049,0.001,0.201,0.154,59,133,112,0,0,0,42131.20,1355.324,27107.732,3472.351,415.913,14.918,24458.841,4649.115,1.227,8591.284,6873.027,3381.460,418.172,2016.523,0.000169,0.053949,35,0,98,14,5,5,2187,0,0,0.000
10561,352.0,834,247,21,73,757,4,0,2,136.20,1.905,1.658,1.665,0.413,0.141,-0.942,1.479,0.3521,1.6677,0.817,0.027,0.009,0.201,0.152,54,133,109,0,0,0,39191.77,1164.519,26043.440,3599.578,177.410,12.540,21920.326,3870.315,1.356,9261.335,7409.068,3448.584,759.796,1894.326,0.000160,0.054000,18,0,99,10,6,6,1969,0,0,0.000
10591,353.0,756,261,21,71,682,3,0,3,145.20,1.903,1.660,1.597,0.427,0.144,-0.942,1.487,0.3542,1.7391,0.754,0.028,0.003,0.200,0.151,57,113,81,0,1,0,35359.62,1015.568,21462.497,2860.106,64.650,12.774,19676.322,3541.758,2.390,6793.783,5435.026,2823.756,453.260,1314.071,0.000123,0.054222,10,0,73,8,3,3,1729,0,0,0.000
10621,354.0,693,283,21,64,626,3,0,4,136.43,1.900,1.663,1.543,0.442,0.141,-0.939,1.537,0.3328,1.7442,0.714,0.047,0.003,0.202,0.152,48,112,81,0,0,0,32255.18,910.760,21248.005,3371.963,104.464,11.154,18043.779,3554.477,6.053,7568.105,6054.484,3306.822,907.466,1302.954,0.000095,0.054037,29,0,80,1,4,4,1745,17,0,0.000
10651,355.0,674,262,18,56,615,3,0,4,160.03,1.898,1.668,1.476,0.430,0.134,-0.937,1.529,0.3327,1.7714,0.838,0.000,0.005,0.203,0.158,52,86,44,0,1,0,31674.53,795.728,20502.407,1320.532,74.670,11.463,16315.227,3110.640,7.355,6481.068,5184.855,1236.826,334.411,898.642,0.000172,0.054467,21,0,41,3,7,7,1682,14,0,0.000
10681,356.0,644,241,18,49,592,3,0,4,179.13,1.893,1.673,1.389,0.435,0.128,-0.937,1.505,0.3467,1.7889,0.854,0.020,0.005,0.203,0.164,47,100,51,0,0,0,29942.97,720.763,18481.123,1602.794,78.066,9.917,15650.394,2938.979,7.744,7000.879,5600.703,1510.205,157.245,871.495,0.000126,0.053460,40,0,50,1,6,6,1590,24,0,0.000
10711,357.0,599,233,18,43,552,4,0,3,164.95,1.885,1.674,1.341,0.447,0.126,-0.931,1.476,0.3661,1.7807,0.865,0.023,0.002,0.204,0.165,33,87,64,0,0,0,28179.99,592.660,17201.169,1872.262,45.238,9.464,14319.139,2938.984,6.185,6098.425,4878.740,1782.233,264.760,898.086,0.000125,0.052059,4,0,64,0,6,6,1695,0,0,0.000
