tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer
4471,149.0,4853,120,18,255,4598,0,0,888,246.60,1.017,1.904,0.613,0.147,0.137,-0.952,1.554,0.4315,4.0402,0.655,0.008,0.031,0.222,-0.146,93,315,119,0,170,0,162249.69,4861.920,73347.155,25.781,2992.877,15.638,38036.550,26193.788,1188.844,29301.671,23441.338,3977.634,1279.644,517.006,0.000190,0.009027,487,0,106,13,119,106,5758,0,13,25.627
4501,150.0,4953,112,18,261,4692,0,0,1058,210.26,1.022,1.907,0.614,0.146,0.137,-0.953,1.550,0.4339,3.9682,0.652,0.011,0.033,0.223,-0.147,105,320,98,0,162,0,165491.33,5000.439,75095.034,29.900,2835.100,15.710,38845.112,26594.121,1383.304,27739.828,22191.863,2892.709,1209.110,411.408,0.000279,0.006639,496,0,83,15,98,83,5936,8,15,29.702
4531,151.0,5022,103,18,268,4754,0,0,1262,221.76,1.028,1.908,0.618,0.147,0.137,-0.953,1.541,0.4331,3.9779,0.648,0.004,0.029,0.224,-0.147,106,326,108,0,216,0,165402.80,5120.448,75091.012,21.955,2741.095,13.748,40071.526,27231.020,1678.699,29368.716,23494.973,3882.522,1071.287,513.152,0.000339,0.004889,497,0,95,13,108,95,5760,3,13,21.660
4561,152.0,4953,97,18,274,4679,0,0,1459,232.51,1.029,1.905,0.618,0.148,0.138,-0.953,1.531,0.4476,3.9452,0.639,0.011,0.028,0.224,-0.148,110,336,108,0,280,0,164690.56,5221.323,74169.546,32.836,2880.600,14.691,40062.247,27274.183,2006.510,26837.911,21470.329,3716.830,1235.795,472.786,0.000253,0.002684,493,0,91,17,108,91,5405,2,17,32.610
4591,153.0,4947,86,18,281,4666,0,0,1670,228.17,1.035,1.902,0.617,0.149,0.140,-0.953,1.531,0.4471,3.9451,0.641,0.007,0.030,0.224,-0.148,115,271,90,0,316,0,165243.44,5169.276,74531.960,30.622,2847.150,17.729,39873.671,26835.011,2338.880,27631.542,22105.234,3208.070,986.951,410.093,0.000279,0.001297,490,0,80,10,90,80,5596,0,10,30.442
4621,154.0,4909,94,18,290,4619,0,0,1821,208.38,1.040,1.898,0.618,0.149,0.141,-0.954,1.532,0.4505,3.9207,0.650,0.000,0.027,0.224,-0.150,102,241,104,0,335,0,162539.44,5254.644,71478.042,24.636,2945.163,16.062,39874.527,26618.426,2602.919,26776.452,21421.162,3808.750,695.549,505.855,0.000236,-0.000300,534,0,94,10,104,94,5386,1,10,24.388
4651,155.0,4858,82,18,296,4562,0,0,1974,255.09,1.048,1.892,0.620,0.150,0.142,-0.955,1.537,0.4449,3.8881,0.624,0.003,0.030,0.224,-0.151,98,227,64,0,353,0,161664.33,5311.850,71328.515,14.820,2780.749,13.708,39826.963,26263.852,2837.887,24756.186,19804.949,2527.060,805.491,317.809,0.000166,0.000186,506,0,56,8,64,56,5131,2,8,14.734
4681,156.0,4801,91,18,306,4495,0,0,2099,241.76,1.053,1.886,0.621,0.151,0.144,-0.955,1.537,0.4575,3.8241,0.656,0.003,0.026,0.224,-0.151,89,212,84,0,384,0,159910.09,5505.956,70975.097,12.006,3008.422,12.570,39773.236,25915.391,3067.978,25897.926,20718.341,3134.955,733.486,442.662,0.000273,0.003240,565,0,79,5,84,79,4691,22,5,11.877
4711,157.0,4678,103,18,315,4363,0,0,2155,274.40,1.058,1.881,0.621,0.151,0.146,-0.954,1.532,0.4586,3.8089,0.648,0.003,0.030,0.224,-0.151,102,202,88,0,396,0,156594.64,5720.720,67098.420,10.766,3022.566,14.740,39156.785,25052.451,3196.911,23577.418,18861.935,3018.702,603.663,401.363,0.000249,0.006453,538,0,82,6,88,82,4255,0,6,10.653
4741,158.0,4608,94,18,319,4289,0,0,2261,230.56,1.058,1.877,0.622,0.150,0.147,-0.955,1.531,0.4613,3.7535,0.672,0.003,0.031,0.224,-0.152,107,158,76,0,393,0,152584.47,5641.955,65827.049,20.010,3008.703,16.386,38572.523,24434.918,3344.718,23259.744,18607.795,3276.611,846.464,372.011,0.000213,0.007071,537,0,67,9,76,67,3953,0,9,19.907
