tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both
9061,302.0,2394,66,38,1481,913,0,0,749,478.12,0.889,0.864,0.364,0.043,0.516,-0.972,1.982,0.3547,2.5086,0.628,0.001,0.005,0.129,-0.092,88,49,26,0,59,0,67007.77,15139.951,11511.827,21.995,6557.486,48.393,17369.559,5162.714,1154.542,5507.606,4406.085,666.566,68.871,227.360,0.000146,0.040167,1406,0,9,17,26,9,17362,16,17,21.816,0,0,0,0,0,0,0
9091,303.0,2399,72,38,1497,902,0,0,688,563.91,0.880,0.859,0.362,0.043,0.521,-0.971,1.980,0.3612,2.5749,0.639,0.001,0.009,0.130,-0.095,81,40,18,0,69,0,68732.27,15505.966,11590.539,11.803,6996.847,54.017,17186.740,5127.145,1056.744,5683.998,4547.199,601.394,20.037,254.945,0.000153,0.041056,1363,0,5,13,18,5,17584,32,12,11.106,0,0,0,0,0,0,0
9121,304.0,2439,83,38,1526,913,0,0,650,628.22,0.877,0.856,0.360,0.043,0.524,-0.973,1.980,0.3584,2.6155,0.635,0.001,0.007,0.130,-0.097,113,43,19,1,45,0,71687.39,16350.076,11946.291,30.835,7564.420,48.307,17171.112,5146.853,978.211,6232.749,4986.199,564.380,20.098,244.884,0.000132,0.041368,1473,0,3,16,19,3,18246,23,15,30.267,0,0,0,0,0,0,0
9151,305.0,2519,87,38,1567,952,0,0,631,588.09,0.882,0.863,0.355,0.041,0.523,-0.973,1.975,0.3608,2.6042,0.619,0.002,0.009,0.130,-0.095,116,45,10,0,41,0,76228.98,17042.144,13371.980,11.714,7633.401,52.702,17524.515,5191.496,917.243,7684.368,6147.494,421.175,41.674,251.276,0.000190,0.042970,1479,0,1,9,10,1,19227,24,5,9.312,0,0,0,0,0,0,0
9181,306.0,2643,108,38,1622,1021,0,0,629,469.22,0.894,0.873,0.349,0.043,0.518,-0.972,1.972,0.3639,2.6182,0.614,0.002,0.009,0.129,-0.094,99,42,6,0,39,0,81511.91,17886.431,14912.457,14.186,8658.283,55.689,18481.145,5607.965,900.159,9387.128,7509.702,313.807,56.532,293.103,0.000147,0.042942,1700,0,0,6,6,0,19987,33,5,12.905,0,0,0,0,0,0,0
9211,307.0,2813,77,38,1679,1134,0,0,647,434.96,0.913,0.895,0.342,0.043,0.507,-0.971,1.971,0.3673,2.5944,0.610,0.003,0.009,0.128,-0.089,109,37,5,0,12,0,87743.37,19174.293,16526.432,13.839,9618.868,52.095,19832.064,6099.107,901.557,9997.256,7997.805,240.833,82.290,327.808,0.000170,0.044640,1820,0,0,5,5,0,20846,30,5,13.839,0,0,0,0,0,0,0
9241,308.0,2989,92,38,1749,1240,0,0,672,375.10,0.925,0.910,0.339,0.044,0.499,-0.972,1.972,0.3665,2.6464,0.611,0.004,0.006,0.127,-0.085,92,46,9,0,29,0,93276.81,20761.659,17042.136,23.408,10739.055,48.131,21380.092,6793.200,917.124,11441.519,9153.216,463.328,96.916,354.792,0.000144,0.044453,2053,0,1,8,9,1,22294,53,8,23.407,0,0,0,0,0,0,0
9271,309.0,3165,107,38,1815,1350,0,0,719,407.40,0.937,0.925,0.332,0.044,0.491,-0.971,1.970,0.3597,2.5988,0.616,0.003,0.007,0.126,-0.082,99,48,19,0,38,0,100393.16,22801.085,19756.455,28.271,12936.612,50.148,22941.058,7499.773,989.669,12331.130,9864.904,963.377,178.863,430.493,0.000199,0.043809,2543,0,4,15,19,4,23649,31,14,27.453,0,0,0,0,0,0,0
9301,310.0,3331,82,39,1859,1472,0,0,766,473.70,0.954,0.943,0.325,0.044,0.481,-0.971,1.965,0.3643,2.6815,0.602,0.003,0.008,0.125,-0.078,75,49,43,0,44,0,106606.24,24269.264,20943.442,45.992,14081.056,45.258,24608.604,8318.760,1045.734,13557.571,10846.057,1763.345,85.458,512.204,0.000258,0.043774,2807,0,16,27,43,16,24999,29,26,45.154,0,0,0,0,0,0,0
9331,311.0,3548,79,39,1919,1629,0,0,831,378.84,0.974,0.966,0.319,0.043,0.468,-0.970,1.963,0.3705,2.7247,0.577,0.002,0.009,0.124,-0.074,97,51,43,0,44,0,114457.52,25961.165,24231.717,67.544,15248.671,50.103,26549.447,8988.283,1128.187,16047.773,12838.219,1802.153,166.880,564.644,0.000125,0.043867,3034,0,14,29,43,14,26628,52,28,67.419,0,0,0,0,0,0,0
