tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both
2881,96.0,1929,830,20,99,1701,113,16,15,83.31,1.466,1.437,1.986,0.215,0.093,-0.777,2.158,0.4846,1.7248,0.538,0.020,0.011,0.129,0.071,51,243,331,0,1,0,80279.91,2544.195,53624.546,7672.846,665.587,13.244,35115.698,11225.787,24.557,25827.152,20661.722,7504.787,917.761,6047.768,0.000161,-0.005628,106,0,283,48,123,75,23805,0,48,1293.552,3515,1413,1409,204,0,1205,0
2911,97.0,1940,726,20,78,1742,107,13,12,101.49,1.494,1.450,2.010,0.209,0.085,-0.781,2.148,0.5736,1.7051,0.491,0.013,0.009,0.130,0.082,60,225,357,0,3,0,80130.56,2216.391,57955.992,9002.319,554.222,15.806,35334.463,11042.997,21.018,29394.043,23515.235,9223.882,1015.105,6807.779,0.000112,-0.006111,93,0,301,56,116,63,22723,0,56,1287.203,3282,1326,1322,234,0,1088,0
2941,98.0,1864,726,20,66,1667,118,13,11,91.82,1.505,1.456,2.026,0.209,0.082,-0.770,2.119,0.5146,1.6809,0.570,0.015,0.006,0.129,0.087,55,251,340,0,0,0,76868.20,1790.726,53455.062,8849.613,356.245,14.285,35397.811,11555.957,18.036,25625.555,20500.444,8724.429,770.740,5765.677,0.000170,-0.006841,57,0,308,32,74,43,23017,0,32,719.062,3486,1576,1573,254,0,1319,0
2971,99.0,1804,670,20,49,1642,101,12,7,95.40,1.518,1.468,2.040,0.195,0.074,-0.787,2.069,0.5121,1.6961,0.671,0.020,0.006,0.129,0.094,54,217,312,0,4,0,76487.10,1795.442,53180.808,7711.368,371.008,16.328,33957.706,10728.734,11.403,23513.828,18811.063,7512.094,911.391,5244.625,0.000134,-0.006755,50,0,268,44,76,47,22341,0,44,674.809,3202,1356,1349,218,0,1131,0
3001,100.0,1790,602,20,45,1636,99,10,10,110.12,1.527,1.470,2.037,0.195,0.070,-0.792,2.095,0.5503,1.6862,0.625,0.044,0.011,0.129,0.095,65,206,274,0,1,0,75330.81,1362.756,51344.835,6656.622,196.399,14.819,33813.680,10425.145,10.276,23361.811,18689.449,6555.461,620.658,4422.923,0.000186,-0.006035,26,0,247,27,50,33,22774,0,27,475.955,2816,1090,1084,210,0,874,0
3031,101.0,1744,535,20,38,1604,98,4,13,122.61,1.538,1.482,2.033,0.200,0.068,-0.796,2.272,0.6055,1.7046,0.649,0.026,0.006,0.129,0.100,51,218,275,0,2,0,72331.88,1173.918,49419.683,7257.649,218.044,12.877,33463.833,10674.887,16.617,22539.025,18031.220,7201.112,758.803,4227.124,0.000185,-0.006163,25,0,251,24,53,33,23222,0,24,620.021,2947,1324,1320,218,0,1102,0
3061,102.0,1583,535,20,32,1441,107,3,12,98.15,1.557,1.483,2.057,0.207,0.066,-0.779,2.314,0.5761,1.7144,0.552,0.062,0.004,0.128,0.101,56,225,338,0,3,0,67262.05,994.847,46846.842,8816.384,114.630,15.211,32034.654,10226.947,19.555,20761.452,16609.162,8827.145,929.834,5537.476,0.000179,-0.004957,16,0,318,20,41,32,21734,0,20,297.472,2931,1252,1239,285,0,953,0
3091,103.0,1484,583,20,31,1347,105,1,14,114.21,1.567,1.481,2.041,0.207,0.067,-0.777,2.163,0.6416,1.7014,0.699,0.032,0.008,0.130,0.103,52,214,258,0,3,0,61966.29,871.008,42299.447,7524.566,107.942,14.002,29889.259,9897.150,18.070,19420.872,15536.698,7386.465,834.595,4081.071,0.000143,-0.004106,17,0,246,12,23,17,19692,0,12,144.052,3204,1434,1431,229,0,1202,0
3121,104.0,1421,560,20,38,1300,83,0,15,123.79,1.570,1.476,2.002,0.203,0.069,-0.799,2.213,0.6587,1.7086,0.646,0.026,0.009,0.131,0.102,60,220,199,0,3,0,60189.30,1001.068,41868.016,5927.524,256.892,10.942,27925.295,8931.086,22.647,18399.379,14719.503,5816.850,961.599,3236.248,0.000210,-0.004285,33,0,188,11,33,22,17439,0,11,277.143,2806,1136,1133,166,0,967,0
3151,105.0,1359,578,17,55,1228,76,0,19,102.98,1.557,1.465,2.001,0.201,0.080,-0.801,2.248,0.6223,1.6941,0.630,0.018,0.010,0.132,0.094,43,173,215,0,2,0,58084.46,1154.736,39458.452,5185.524,231.941,13.075,26581.775,8088.910,24.132,16586.989,13269.592,5012.687,685.735,4192.910,0.000130,-0.005330,39,0,211,4,45,44,15981,0,4,25.216,2368,911,910,167,0,741,0
3181,106.0,1336,535,17,69,1195,72,0,18,142.04,1.553,1.455,1.984,0.200,0.088,-0.805,2.246,0.6234,1.7038,0.655,0.014,0.011,0.133,0.089,49,164,172,0,2,0,57419.12,1476.224,38245.147,4023.143,328.254,12.498,25900.825,7291.642,29.842,16082.570,12866.056,3878.183,585.825,3507.025,0.000133,-0.005553,35,0,167,5,36,36,15187,0,5,2.391,2150,727,720,131,0,589,0
3211,107.0,1325,478,17,88,1173,61,3,21,117.78,1.542,1.441,1.936,0.179,0.101,-0.818,2.277,0.5352,1.7335,0.529,0.023,0.010,0.134,0.079,39,172,144,0,3,0,55813.10,1548.729,35435.417,3770.995,418.151,11.362,25156.986,7074.031,29.566,15533.659,12426.927,3668.509,684.328,2641.011,0.000143,-0.005496,58,0,137,7,32,25,15175,0,7,198.079,1974,643,643,112,0,531,0
3241,108.0,1274,519,17,90,1124,58,2,15,137.21,1.543,1.433,1.937,0.174,0.103,-0.823,2.292,0.5448,1.7398,0.600,0.011,0.009,0.136,0.073,39,156,133,0,4,0,52911.69,1593.199,31147.554,3607.268,455.572,13.319,24506.789,6296.003,29.869,12275.250,9820.200,3460.907,415.816,2084.994,0.000260,-0.006481,67,0,114,19,26,13,14339,0,19,476.646,1691,361,361,101,0,260,0
3271,109.0,1213,504,17,73,1082,58,0,12,131.45,1.557,1.445,1.957,0.186,0.095,-0.824,2.255,0.5495,1.7441,0.657,0.014,0.006,0.136,0.076,46,165,154,0,3,0,48750.75,1451.308,29647.343,4104.731,459.685,9.988,23839.767,6305.198,20.715,13231.387,10585.110,3957.842,315.137,2279.391,0.000197,-0.007042,62,0,117,37,31,10,14000,0,37,645.926,1770,443,438,107,0,331,0
3301,110.0,1134,488,17,75,1002,57,0,9,132.26,1.556,1.441,1.943,0.195,0.101,-0.821,2.236,0.5128,1.7476,0.616,0.013,0.010,0.135,0.079,35,178,113,0,4,0,45835.97,1245.782,28328.820,3210.872,126.377,8.202,22549.209,5568.605,15.799,11006.074,8804.859,3150.186,414.007,1801.231,0.000140,-0.007763,16,0,99,14,27,14,13897,0,14,419.870,1711,252,251,85,0,166,0
3331,111.0,1066,512,17,69,943,54,0,9,148.54,1.545,1.445,1.891,0.184,0.101,-0.823,2.288,0.4996,1.7839,0.639,0.000,0.008,0.135,0.079,43,167,101,0,1,0,42675.60,1093.335,25585.358,2576.434,227.098,8.803,20695.646,5470.020,17.443,9809.628,7847.702,2454.325,428.963,1387.168,0.000112,-0.007943,33,0,74,27,21,3,14129,0,27,488.328,1677,248,238,71,0,167,0
3361,112.0,988,462,17,68,873,47,0,8,151.15,1.542,1.446,1.831,0.176,0.105,-0.829,2.264,0.5268,1.8053,0.653,0.000,0.008,0.135,0.081,56,164,89,0,2,0,39402.16,1066.945,23020.922,2467.676,134.863,9.534,18946.246,4951.523,12.727,8969.704,7175.763,2445.013,405.268,1274.265,0.000113,-0.008639,19,0,75,14,23,10,14174,0,14,425.007,1485,172,171,65,0,106,0
3391,113.0,906,490,17,70,798,38,0,6,155.18,1.527,1.453,1.754,0.183,0.114,-0.840,2.276,0.5516,1.8413,0.708,0.000,0.016,0.135,0.080,31,157,93,0,3,0,36498.84,993.021,20748.129,2484.421,147.029,9.950,16830.143,4657.605,12.820,8426.572,6741.257,2409.619,315.447,1217.938,0.000121,-0.008741,23,0,75,18,26,9,13088,0,18,453.005,1187,206,201,66,0,135,0
3421,114.0,895,499,17,83,780,32,0,5,163.04,1.501,1.441,1.674,0.171,0.127,-0.853,2.301,0.5339,1.8540,0.697,0.000,0.006,0.136,0.071,27,124,40,0,1,0,34976.84,1100.512,19912.366,647.171,124.926,10.282,15681.320,4380.783,9.330,7566.167,6052.934,575.378,83.978,938.029,0.000103,-0.007960,20,0,39,1,15,15,12353,0,1,0.363,1050,134,133,24,0,109,0
3451,115.0,855,546,17,96,733,26,0,6,136.48,1.471,1.418,1.615,0.165,0.144,-0.860,2.322,0.5130,1.8605,0.668,0.000,0.007,0.136,0.059,35,130,71,0,2,0,32753.69,1319.815,17919.337,1751.514,235.295,9.731,14609.890,4055.306,8.235,7976.473,6381.178,1649.074,183.773,1112.249,0.000098,-0.008435,29,0,64,7,17,10,11541,0,7,249.720,797,95,94,54,0,40,0
3481,116.0,822,418,17,84,716,22,0,6,163.35,1.486,1.432,1.620,0.158,0.134,-0.869,2.172,0.5263,1.8891,0.744,0.000,0.005,0.134,0.062,35,137,64,0,0,0,32631.69,1181.336,19213.044,1406.620,160.420,9.263,13974.160,4123.697,9.151,8440.706,6752.565,1326.532,27.034,774.286,0.000142,-0.008701,24,0,37,27,34,9,10968,0,27,769.805,751,58,56,28,0,28,0
3511,117.0,814,359,17,89,706,19,0,6,170.46,1.475,1.435,1.571,0.156,0.139,-0.873,2.181,0.4915,1.9527,0.711,0.000,0.007,0.134,0.062,27,102,55,0,0,0,31212.91,1129.933,17294.130,1121.374,62.103,7.721,13479.031,3977.699,9.151,7027.834,5622.267,1127.578,200.606,764.585,0.000136,-0.008211,10,0,33,22,25,10,10717,0,22,475.677,612,80,75,23,0,52,0
3541,118.0,764,380,17,87,666,11,0,4,166.49,1.466,1.441,1.544,0.150,0.141,-0.888,2.181,0.5111,1.9573,0.726,0.000,0.004,0.136,0.058,27,122,46,0,2,0,28837.28,1163.787,14820.186,900.180,187.790,5.255,12801.737,3804.117,8.022,5796.698,4637.359,831.051,32.762,622.753,0.000104,-0.008225,24,0,30,16,18,6,10556,0,16,330.967,453,50,46,24,0,22,0
3571,119.0,732,383,17,86,636,10,0,7,171.35,1.451,1.454,1.496,0.138,0.144,-0.890,2.170,0.5277,2.0089,0.707,0.000,0.006,0.137,0.058,27,116,34,0,0,0,28109.33,1162.178,14987.142,738.413,97.559,5.501,11927.856,3502.500,6.578,5673.128,4538.503,685.390,50.769,307.962,0.000103,-0.008455,14,0,19,15,17,3,10332,0,15,424.304,305,35,34,16,0,18,0
3601,120.0,710,413,16,96,602,12,0,4,173.93,1.425,1.440,1.448,0.143,0.161,-0.887,2.121,0.5112,2.0237,0.712,0.000,0.008,0.139,0.051,17,98,36,0,2,0,27210.39,1161.339,13981.952,850.500,69.793,3.874,11157.612,3418.709,8.084,5342.671,4274.137,791.124,55.387,393.285,0.000098,-0.008115,8,0,25,11,14,4,10304,0,11,319.554,332,52,51,21,0,30,0
3631,121.0,690,447,16,104,574,12,0,5,164.70,1.396,1.421,1.379,0.144,0.175,-0.887,2.101,0.5244,2.0650,0.753,0.000,0.007,0.141,0.045,23,101,34,0,1,0,27042.94,1345.293,13879.969,747.568,154.635,5.290,10466.646,3204.828,7.518,5485.386,4388.309,698.048,41.077,625.083,0.000083,-0.008003,21,0,24,10,19,9,10204,0,10,316.767,362,39,39,15,0,24,0
