tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach
331,11.0,1926,523,30,322,1500,28,76,31,155.99,0.900,1.036,0.189,0.054,0.142,-0.544,1.599,0.3451,2.2831,0.710,0.230,0.041,0.076,-0.055,79,114,81,0,3,0,67614.52,2993.768,13737.727,29.557,110.965,12.034,10303.499,4624.226,51.473,4253.687,3402.950,2069.716,600.573,344.526,0.000128,-0.010366,0,16,81,0,68,68,18917
361,12.0,1869,573,30,348,1435,22,64,34,178.55,0.899,1.022,0.171,0.049,0.154,-0.554,1.608,0.3493,2.2599,0.693,0.224,0.039,0.075,-0.054,92,124,69,0,3,0,68600.97,3330.605,15186.889,16.810,142.337,13.118,9724.831,4145.024,50.697,5302.383,4241.906,1648.087,624.996,293.737,0.000108,-0.009969,0,36,69,0,59,59,18006
391,13.0,1866,646,30,392,1408,16,50,37,194.13,0.891,1.003,0.161,0.046,0.170,-0.566,1.598,0.3536,2.2466,0.679,0.209,0.039,0.074,-0.052,89,105,68,0,5,0,69835.16,3637.332,15818.109,27.922,272.331,12.413,9484.910,3954.398,58.132,6588.650,5270.920,2287.518,750.157,396.332,0.000138,-0.010244,0,51,68,0,62,62,17906
421,14.0,1921,741,30,440,1423,14,44,42,201.35,0.887,0.987,0.150,0.046,0.184,-0.573,1.607,0.3481,2.2458,0.651,0.186,0.045,0.072,-0.051,97,78,73,0,2,0,73477.07,4228.013,17915.298,39.546,93.308,15.340,9571.826,3905.041,62.176,7928.159,6342.527,2216.530,761.680,438.051,0.000113,-0.010804,0,49,73,0,58,58,18227
451,15.0,1995,811,30,498,1451,9,37,49,213.03,0.883,0.974,0.139,0.046,0.199,-0.580,1.611,0.3559,2.2556,0.659,0.161,0.041,0.071,-0.049,96,84,84,0,2,0,78327.93,4758.533,19974.375,57.915,233.492,15.510,9760.729,3946.921,72.255,9127.943,7302.355,2781.707,1022.125,530.645,0.000132,-0.009484,0,44,84,0,61,61,18601
481,16.0,2197,693,30,562,1593,8,34,52,213.56,0.881,0.972,0.134,0.047,0.206,-0.585,1.620,0.3633,2.2741,0.639,0.165,0.040,0.069,-0.046,94,45,78,0,6,0,86977.80,5594.830,24619.601,37.609,176.943,13.278,10406.352,4336.283,84.655,12664.470,10131.576,2801.607,930.557,509.814,0.000168,-0.010326,0,49,78,0,60,60,19289
511,17.0,2414,648,30,652,1725,7,30,58,215.07,0.875,0.965,0.133,0.048,0.216,-0.589,1.627,0.3603,2.2907,0.599,0.150,0.038,0.068,-0.045,91,44,84,0,4,0,94949.40,6371.117,25228.836,52.731,264.857,10.579,11415.179,4921.360,87.362,13065.538,10452.430,3185.064,911.607,547.410,0.000159,-0.009873,0,101,84,0,65,65,20095
541,18.0,2607,640,30,727,1847,6,27,72,218.05,0.873,0.963,0.125,0.049,0.223,-0.593,1.625,0.3697,2.2941,0.589,0.140,0.035,0.067,-0.044,99,53,102,0,3,0,102974.44,7299.359,26370.461,53.046,323.052,10.507,12319.942,5290.388,104.750,13397.799,10718.240,3635.476,1082.185,585.523,0.000152,-0.009950,0,119,102,0,82,82,21683
571,19.0,2835,545,30,852,1955,4,24,101,199.71,0.865,0.951,0.122,0.048,0.235,-0.597,1.631,0.3703,2.3030,0.570,0.134,0.036,0.067,-0.044,102,47,122,0,3,0,111846.49,8503.672,28570.978,57.570,322.319,10.344,13280.281,5651.668,142.683,14894.320,11915.456,4390.431,1030.965,785.274,0.000160,-0.011280,0,106,122,0,100,100,22398
601,20.0,3097,561,30,987,2088,5,17,119,222.75,0.860,0.937,0.119,0.046,0.249,-0.601,1.637,0.3760,2.3094,0.575,0.133,0.033,0.067,-0.042,100,54,109,0,2,0,122103.16,10074.368,29414.453,46.556,352.556,8.728,14428.203,6004.929,176.208,15929.530,12743.624,3577.772,1276.124,629.564,0.000188,-0.010896,0,91,109,0,92,92,23807
631,21.0,3404,548,30,1156,2227,5,16,151,201.60,0.851,0.923,0.118,0.046,0.262,-0.603,1.645,0.3819,2.3054,0.553,0.117,0.034,0.068,-0.043,107,47,113,0,9,0,133092.69,11844.512,31273.326,45.378,582.994,11.630,15687.179,6358.186,213.167,17521.191,14016.953,4213.738,1391.467,805.716,0.000321,-0.009790,0,117,113,0,100,100,25506
661,22.0,3753,452,30,1346,2388,5,14,205,201.13,0.844,0.909,0.115,0.046,0.276,-0.608,1.649,0.3825,2.3086,0.525,0.105,0.034,0.068,-0.042,114,57,111,0,9,0,146272.56,13530.818,34344.379,55.004,825.341,12.760,17207.878,6896.693,279.093,19434.206,15547.365,4169.455,1342.801,967.572,0.000200,-0.010491,0,217,111,0,89,89,27196
691,23.0,4120,464,30,1560,2542,4,14,279,204.38,0.836,0.894,0.116,0.044,0.289,-0.612,1.651,0.3861,2.3007,0.514,0.094,0.030,0.068,-0.042,129,50,128,0,22,0,159032.94,15383.983,35234.655,45.995,894.113,15.888,18720.758,7509.085,383.610,20921.450,16737.160,4615.454,1287.552,1203.508,0.000196,-0.010561,0,270,128,0,112,112,28375
721,24.0,4472,399,30,1827,2628,4,13,421,207.21,0.820,0.873,0.114,0.043,0.308,-0.615,1.654,0.3917,2.2908,0.485,0.086,0.031,0.069,-0.040,132,61,154,0,13,0,172196.66,17871.574,36016.542,63.935,508.999,14.796,20169.729,8062.340,562.430,20684.309,16547.447,5580.180,1256.540,1020.253,0.000340,-0.010615,0,191,154,0,137,137,30581
751,25.0,4790,466,30,2102,2675,2,11,630,217.01,0.804,0.853,0.114,0.044,0.326,-0.619,1.663,0.3948,2.2831,0.469,0.086,0.031,0.071,-0.039,133,53,171,0,23,0,183926.64,20049.727,35136.721,76.548,1051.643,18.100,21450.189,8341.699,860.694,19944.310,15955.448,6309.195,1214.230,1368.144,0.000237,-0.010943,0,349,171,0,151,151,31302
781,26.0,5220,423,30,2486,2722,2,10,928,235.10,0.781,0.828,0.114,0.043,0.350,-0.621,1.670,0.3949,2.2940,0.451,0.068,0.032,0.073,-0.037,137,69,189,0,44,0,197269.89,23385.117,37474.169,71.121,1290.178,16.335,22655.029,8424.652,1290.651,25336.353,20269.083,6966.229,1644.944,1538.376,0.000375,-0.013038,0,415,189,0,162,162,32616
811,27.0,5616,387,30,2833,2771,2,10,1370,216.37,0.766,0.809,0.115,0.040,0.368,-0.623,1.677,0.3984,2.2836,0.450,0.062,0.028,0.075,-0.036,169,51,209,0,40,0,209681.77,26799.092,36995.968,71.542,1894.567,22.323,23989.137,8684.846,1921.336,24474.671,19579.737,8281.941,1569.920,2112.610,0.000206,-0.013395,0,531,209,0,189,189,32924
841,28.0,5997,419,30,3209,2775,4,9,1959,249.71,0.749,0.788,0.115,0.040,0.386,-0.626,1.681,0.4077,2.2942,0.440,0.068,0.032,0.077,-0.036,169,43,214,0,67,0,223847.36,30731.356,36988.168,76.553,2333.092,25.453,25336.972,9016.808,2806.437,24532.053,19625.642,7823.681,1553.826,2186.347,0.000359,-0.014825,0,542,214,0,186,186,33600
871,29.0,6000,401,30,3417,2572,4,7,2649,223.90,0.728,0.764,0.117,0.038,0.406,-0.628,1.684,0.4104,2.2761,0.444,0.145,0.089,0.079,-0.035,169,33,251,0,73,0,238965.81,33429.550,36896.904,85.382,2781.326,26.706,25538.939,8660.695,3965.791,12159.215,9727.372,10321.227,1617.161,2757.732,0.000299,-0.016237,0,605,251,0,233,233,34285
901,30.0,6000,462,30,3617,2372,4,7,3272,270.57,0.709,0.742,0.117,0.037,0.425,-0.629,1.689,0.4084,2.2641,0.442,0.204,0.127,0.081,-0.035,168,44,231,0,115,0,253548.39,35976.596,37623.712,72.083,4319.327,29.778,24856.635,8033.519,5109.885,13450.213,10760.171,11260.791,3466.233,3672.698,0.000395,-0.019450,0,802,231,0,220,220,33385
931,31.0,6000,490,30,3791,2200,4,5,3770,259.64,0.692,0.721,0.118,0.036,0.442,-0.630,1.691,0.4075,2.2563,0.441,0.249,0.182,0.083,-0.034,191,23,192,0,133,0,268840.84,38353.721,37748.594,85.519,5071.075,37.764,24243.490,7537.876,6150.269,11834.144,9467.316,10955.780,5262.426,4378.704,0.000422,-0.022804,0,1001,192,0,177,177,32966
961,32.0,5998,534,30,3939,2051,4,4,4212,271.69,0.678,0.704,0.119,0.036,0.457,-0.631,1.692,0.4093,2.2270,0.441,0.291,0.250,0.084,-0.034,197,17,183,0,124,0,282870.94,39788.022,36309.374,78.469,5194.262,39.805,23754.224,7021.504,7005.735,10952.682,8762.146,11644.194,6118.314,4411.253,0.000538,-0.032996,0,1006,183,0,169,169,33217
991,33.0,6000,562,30,4090,1904,3,3,4482,311.80,0.664,0.687,0.120,0.035,0.471,-0.633,1.695,0.4114,2.2197,0.436,0.324,0.287,0.086,-0.034,200,12,202,0,117,0,295219.19,41315.186,36145.511,94.141,5565.399,45.512,23287.594,6608.425,7659.452,11404.327,9123.462,12908.180,7940.969,4521.109,0.000473,-0.037992,0,1083,202,0,188,188,32909
1021,34.0,6000,566,30,4202,1793,2,3,4609,309.33,0.652,0.674,0.120,0.035,0.482,-0.635,1.696,0.4135,2.2255,0.446,0.347,0.357,0.087,-0.034,200,4,140,0,140,0,309408.28,42413.411,35769.874,72.777,5804.404,47.908,22851.750,6292.060,8052.322,9545.326,7636.261,11194.286,9357.737,4409.748,0.000326,-0.040291,0,1007,140,0,127,127,32892
1051,35.0,6000,593,30,4308,1688,2,2,4583,325.78,0.640,0.662,0.121,0.035,0.493,-0.635,1.698,0.4130,2.2165,0.451,0.367,0.411,0.089,-0.035,223,3,145,0,130,0,320579.50,43281.181,34746.436,59.528,6407.642,53.898,22542.174,6019.032,8190.566,9317.647,7454.117,12714.925,10474.685,5110.999,0.000461,-0.038679,0,1077,145,0,138,138,32472
1081,36.0,6000,633,30,4407,1589,2,2,4576,344.25,0.630,0.651,0.122,0.034,0.502,-0.636,1.700,0.4141,2.2131,0.451,0.394,0.467,0.090,-0.035,222,7,126,0,101,0,330539.59,43844.092,34265.431,80.730,6686.749,61.955,22205.083,5709.982,8188.447,7759.693,6207.755,12147.510,13373.723,5053.489,0.000387,-0.035995,0,1117,126,0,116,116,32862
1111,37.0,5997,642,30,4492,1501,2,2,4501,353.05,0.621,0.642,0.122,0.034,0.511,-0.635,1.699,0.4152,2.2310,0.449,0.403,0.506,0.092,-0.035,220,4,125,0,125,0,335764.16,43749.849,32922.075,67.593,7549.372,65.048,21926.733,5501.700,8137.092,8436.798,6749.438,13558.330,14802.820,5900.931,0.000356,-0.035270,0,1221,125,0,120,120,32927
1141,38.0,6000,681,30,4560,1437,2,1,4490,366.82,0.613,0.635,0.123,0.034,0.517,-0.636,1.701,0.4176,2.2268,0.446,0.418,0.531,0.092,-0.035,227,4,99,0,112,0,341791.97,43972.303,32928.304,63.782,7679.485,66.804,21668.683,5321.126,8125.112,7356.278,5885.023,12389.139,16146.319,5814.929,0.000465,-0.032581,0,1287,99,0,92,92,33034
1171,39.0,5999,656,30,4618,1379,1,1,4480,397.20,0.607,0.629,0.123,0.032,0.523,-0.637,1.704,0.4191,2.2293,0.446,0.424,0.550,0.093,-0.035,218,3,101,0,114,0,345384.69,43225.766,31268.940,53.897,7855.639,68.630,21484.822,5241.302,8122.634,7438.217,5950.574,11600.080,16911.248,6108.157,0.000496,-0.030385,0,1213,101,0,99,99,33509
1201,40.0,5998,658,29,4688,1308,1,1,4508,380.06,0.599,0.621,0.123,0.032,0.530,-0.637,1.706,0.4176,2.2397,0.453,0.419,0.563,0.094,-0.035,215,5,101,0,114,0,345986.69,43088.404,29478.169,69.222,8306.976,71.311,21263.693,5031.656,8115.544,7254.476,5803.581,12749.202,17246.946,6175.854,0.000509,-0.028876,0,1259,101,0,95,95,32946
1231,41.0,5998,684,29,4739,1255,1,3,4474,397.57,0.593,0.615,0.123,0.032,0.534,-0.636,1.707,0.4200,2.2512,0.450,0.424,0.563,0.095,-0.034,225,4,84,0,90,0,346524.78,41974.441,27779.329,58.666,7774.350,72.083,21083.194,4816.773,8140.033,5923.478,4738.783,11350.146,16736.554,5962.957,0.000345,-0.028183,0,1165,84,0,79,79,33551
1261,42.0,6000,706,29,4795,1200,1,4,4482,386.48,0.587,0.608,0.124,0.032,0.540,-0.635,1.709,0.4215,2.2471,0.451,0.424,0.582,0.096,-0.035,243,0,87,0,110,0,345253.03,41287.200,26689.742,45.216,8492.742,78.505,20939.305,4596.145,8076.037,6654.319,5323.455,10607.332,17718.492,6025.751,0.000451,-0.028610,0,1216,87,0,84,84,33828
1291,43.0,5996,676,29,4853,1138,0,5,4457,409.81,0.579,0.601,0.124,0.032,0.546,-0.634,1.710,0.4211,2.2349,0.438,0.428,0.590,0.097,-0.035,245,3,93,0,104,0,342388.91,39969.913,25015.277,45.205,7449.533,75.895,20750.380,4392.441,8008.809,6510.463,5208.370,12346.881,15709.821,5384.071,0.000512,-0.026800,0,1195,93,0,91,91,34271
1321,44.0,5995,639,29,4906,1083,0,6,4470,416.88,0.573,0.595,0.125,0.033,0.552,-0.633,1.711,0.4224,2.2164,0.442,0.427,0.586,0.098,-0.035,252,3,85,0,115,0,339448.41,38642.652,23516.900,38.256,6624.344,91.752,20638.093,4286.299,8002.276,6718.828,5375.062,11559.858,14140.371,5167.657,0.000403,-0.024429,0,1313,85,0,84,84,33510
1351,45.0,5997,641,28,4943,1049,0,5,4417,465.26,0.569,0.591,0.125,0.033,0.555,-0.634,1.713,0.4225,2.2048,0.436,0.415,0.586,0.098,-0.035,263,2,82,0,112,0,334179.56,37206.207,21321.691,38.070,7581.939,85.449,20547.761,4204.234,7969.823,6719.805,5375.844,10593.597,13434.267,5741.189,0.000369,-0.021023,0,1259,82,0,81,81,33562
1381,46.0,6000,649,28,5001,995,0,4,4350,493.14,0.563,0.586,0.125,0.032,0.561,-0.633,1.714,0.4221,2.2072,0.442,0.398,0.573,0.099,-0.034,241,3,72,0,132,0,328249.12,35869.472,20590.578,26.977,6805.155,88.258,20472.874,4092.032,7790.173,6830.810,5464.648,10866.092,12715.140,5114.979,0.000587,-0.013996,0,1189,72,0,72,72,34092
1411,47.0,6000,608,28,5037,959,0,4,4437,500.18,0.558,0.581,0.125,0.031,0.566,-0.633,1.714,0.4215,2.2074,0.441,0.392,0.562,0.100,-0.034,269,6,64,0,110,0,323608.22,34671.527,18971.647,38.354,6541.389,95.064,20383.586,4016.228,7800.598,5753.385,4602.708,8463.928,11558.676,4948.747,0.000610,-0.008755,0,1163,64,0,63,63,34062
1441,48.0,5996,602,28,5087,905,0,4,4411,499.73,0.552,0.576,0.125,0.032,0.572,-0.634,1.717,0.4223,2.2296,0.435,0.372,0.562,0.101,-0.034,263,4,60,0,114,0,316441.94,33310.599,17550.316,23.775,6423.032,104.738,20304.251,3899.925,7777.006,5550.260,4440.208,8667.664,11571.943,4720.140,0.000294,-0.007803,0,1165,60,0,60,60,34422
1471,49.0,5998,572,28,5136,859,0,3,4392,504.04,0.546,0.569,0.125,0.033,0.577,-0.633,1.718,0.4226,2.2276,0.449,0.354,0.555,0.102,-0.034,266,3,63,0,127,0,305991.38,31787.544,16427.640,40.135,6818.305,96.593,20180.636,3784.610,7668.291,6173.199,4938.559,9192.147,11442.598,5202.954,0.000505,-0.005738,0,1184,63,0,60,60,34612
1501,50.0,5996,510,27,5179,815,0,2,4369,530.52,0.540,0.564,0.125,0.032,0.582,-0.632,1.720,0.4215,2.2529,0.434,0.325,0.551,0.102,-0.035,271,5,60,0,135,0,293485.06,30654.539,14083.148,21.069,7607.767,105.907,20039.710,3653.939,7629.676,6293.962,5035.170,8202.906,10658.144,5821.897,0.000407,-0.007191,0,1284,60,0,60,60,35011
1531,51.0,5997,537,27,5211,782,1,3,4314,587.07,0.536,0.561,0.126,0.034,0.587,-0.628,1.723,0.4204,2.2614,0.435,0.294,0.499,0.103,-0.035,243,8,64,0,120,0,279588.75,29273.372,12511.562,24.554,7920.458,108.506,19927.957,3548.618,7495.524,6324.967,5059.974,7613.640,9884.161,5970.919,0.000485,-0.010647,0,1358,64,0,64,64,34787
1561,52.0,6000,495,27,5251,745,1,3,4352,592.06,0.532,0.557,0.126,0.035,0.591,-0.629,1.725,0.4219,2.2312,0.434,0.264,0.483,0.104,-0.035,279,6,53,0,147,0,266014.28,28187.462,11906.343,31.498,7521.343,106.784,19867.278,3407.067,7459.257,6724.289,5379.431,7509.456,8376.072,5735.780,0.000320,-0.012848,0,1521,53,0,52,52,35573
1591,53.0,6000,496,27,5291,706,0,3,4326,555.81,0.526,0.552,0.126,0.035,0.595,-0.629,1.728,0.4192,2.2548,0.434,0.233,0.446,0.104,-0.035,264,6,57,0,144,0,250358.81,27008.969,10655.402,32.027,8148.572,112.209,19773.097,3260.349,7394.213,6646.413,5317.131,7596.891,8071.632,5926.401,0.000303,-0.013773,0,1560,57,0,55,55,35387
1621,54.0,6000,477,27,5328,669,0,3,4303,611.40,0.522,0.548,0.127,0.035,0.599,-0.628,1.732,0.4214,2.2583,0.428,0.205,0.427,0.105,-0.035,275,7,70,0,148,0,234900.88,25970.993,10154.929,20.980,6953.886,118.924,19688.227,3200.354,7309.638,7151.427,5721.142,7798.360,7077.810,5100.161,0.000346,-0.013781,0,1622,70,0,70,70,35580
1651,55.0,6000,450,26,5362,635,0,3,4320,589.02,0.517,0.544,0.128,0.036,0.603,-0.627,1.738,0.4236,2.2206,0.428,0.179,0.406,0.106,-0.036,280,7,67,0,158,0,222454.56,25061.366,9328.046,20.178,5735.370,115.046,19638.868,3119.013,7340.249,7428.829,5943.063,5854.151,5116.963,4300.888,0.000303,-0.012145,0,1640,67,0,67,67,35678
1681,56.0,5999,397,26,5360,635,1,3,4337,648.97,0.517,0.545,0.129,0.037,0.605,-0.626,1.746,0.4212,2.2023,0.424,0.158,0.371,0.106,-0.036,274,9,39,0,167,0,209567.80,24458.929,8609.770,15.360,6364.501,124.953,19685.132,3098.521,7391.536,6956.472,5565.178,5156.422,4572.603,4675.319,0.000398,-0.010290,0,1816,39,0,38,38,35267
1711,57.0,6000,377,26,5362,634,1,3,4233,658.59,0.516,0.544,0.132,0.039,0.606,-0.628,1.751,0.4222,2.1835,0.426,0.127,0.326,0.106,-0.036,261,16,50,0,199,0,194446.73,23856.088,7809.894,21.169,7393.486,121.109,19718.301,3059.121,7329.783,8792.937,7034.350,5266.588,4252.861,5422.972,0.000280,-0.010883,0,2174,50,0,49,49,35753
1741,58.0,5994,372,26,5367,622,0,5,4135,634.39,0.515,0.543,0.135,0.041,0.608,-0.627,1.755,0.4238,2.1722,0.425,0.091,0.249,0.107,-0.037,292,8,85,0,242,0,176958.22,23554.450,6879.494,40.477,8132.182,117.787,19760.233,3103.019,7165.391,10893.184,8714.548,6356.246,3657.926,5741.483,0.000286,-0.010313,0,2687,85,0,82,82,35936
1771,59.0,5997,363,26,5348,644,0,5,4120,518.11,0.517,0.545,0.138,0.043,0.606,-0.626,1.762,0.4236,2.1428,0.427,0.062,0.188,0.106,-0.038,275,20,88,0,224,0,159864.17,23282.396,6493.127,22.616,9316.244,123.999,19838.536,3156.529,7049.143,11501.546,9201.237,5338.677,2861.189,6347.811,0.000184,-0.010958,0,3345,88,0,87,87,36402
1801,60.0,6000,367,26,5311,685,0,4,4029,533.50,0.522,0.552,0.141,0.047,0.603,-0.622,1.768,0.4239,2.1754,0.429,0.029,0.064,0.105,-0.038,295,29,119,0,268,0,140855.19,22975.445,6138.497,33.601,10008.638,112.996,20020.423,3284.749,7024.972,15079.575,12063.660,6838.665,1248.058,6723.735,0.000248,-0.012768,0,4223,119,0,117,117,36597
1831,61.0,5863,417,26,5136,723,0,4,3989,610.17,0.530,0.557,0.148,0.052,0.598,-0.621,1.776,0.4255,2.1388,0.437,0.011,0.032,0.105,-0.039,327,29,126,0,322,0,122287.38,23058.159,6556.400,20.743,12573.590,124.059,20231.401,3471.112,6999.839,12913.667,10330.934,6253.006,548.226,8116.794,0.000165,-0.014348,0,6234,126,0,126,126,37037
1861,62.0,5501,398,26,4798,699,0,4,3833,588.68,0.533,0.558,0.154,0.051,0.596,-0.617,1.784,0.4210,2.1088,0.453,0.009,0.033,0.105,-0.040,291,40,141,0,373,0,105535.69,22857.210,6379.786,28.047,11422.991,126.068,19504.520,3261.144,6850.152,7903.685,6322.948,6922.948,465.458,7431.783,0.000196,-0.013914,0,7058,141,0,140,140,36642
1891,63.0,5104,462,26,4435,665,0,4,3557,635.91,0.536,0.559,0.159,0.053,0.595,-0.610,1.792,0.4183,2.0838,0.472,0.005,0.024,0.105,-0.042,263,40,142,0,385,0,91342.81,22693.281,6009.679,23.397,9901.096,116.059,18471.447,3053.348,6484.381,7040.137,5632.110,6819.769,193.574,6488.686,0.000132,-0.012704,0,7562,142,0,142,142,36078
1921,64.0,4746,514,26,4078,664,0,4,3270,610.59,0.543,0.565,0.166,0.054,0.591,-0.607,1.799,0.4162,2.0824,0.501,0.004,0.027,0.105,-0.042,260,35,112,0,362,0,82347.66,22985.322,6392.526,25.484,8873.031,114.045,17263.691,2899.594,5941.521,6449.976,5159.981,5035.960,190.278,5777.449,0.000260,-0.010087,0,7353,112,0,111,111,34785
1951,65.0,4435,556,25,3759,672,0,4,2974,624.26,0.553,0.573,0.171,0.057,0.584,-0.605,1.806,0.4162,2.0732,0.520,0.003,0.025,0.104,-0.043,235,24,129,0,349,0,74457.68,22923.134,7182.631,23.163,8243.536,107.306,16425.149,2865.340,5436.380,7921.190,6336.952,6077.523,112.304,5517.970,0.000178,-0.008537,0,7450,129,0,129,129,32944
1981,66.0,4201,636,25,3520,677,0,4,2788,590.97,0.560,0.579,0.175,0.058,0.579,-0.602,1.814,0.4156,2.0886,0.521,0.003,0.021,0.104,-0.044,254,23,109,0,259,0,69723.50,22568.411,7463.243,20.483,7233.526,109.540,15711.575,2857.979,5066.602,6560.297,5248.237,4935.585,132.908,4769.612,0.000181,-0.006067,0,7021,109,0,108,108,32223
2011,67.0,4021,650,25,3342,674,0,5,2605,519.22,0.566,0.585,0.180,0.063,0.576,-0.602,1.818,0.4134,2.1029,0.538,0.003,0.018,0.103,-0.044,223,16,135,0,209,0,66105.97,22909.385,9027.475,26.541,8228.812,101.914,15166.139,2926.675,4736.696,7536.133,6028.906,5753.351,94.152,5396.692,0.000205,-0.003670,0,7645,135,0,135,135,31314
2041,68.0,3888,686,25,3169,715,0,4,2405,541.26,0.579,0.596,0.185,0.061,0.567,-0.601,1.823,0.4118,2.1460,0.549,0.002,0.026,0.102,-0.045,226,13,117,0,197,0,64335.07,23456.787,10471.187,24.397,9704.448,103.875,14905.078,3074.970,4393.300,8371.448,6697.158,5384.000,79.762,6211.871,0.000214,-0.001578,0,8253,117,0,117,117,30902
