tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach
2071,69.0,3498,435,29,2058,1440,0,0,1771,445.42,0.715,0.833,0.368,0.115,0.420,-0.703,1.722,0.4725,2.4422,0.692,0.001,0.007,0.065,-0.026,102,16,85,0,93,0,70916.04,21869.800,17403.358,8.378,9477.397,33.951,17143.566,5339.396,3015.595,9250.379,7400.303,3439.965,44.863,4084.059,0.000152,-0.018337,0,9777,85,0,85,85,39616
2101,70.0,3593,391,29,2017,1576,0,0,1746,376.40,0.731,0.854,0.388,0.118,0.403,-0.707,1.722,0.4704,2.4222,0.677,0.000,0.006,0.065,-0.031,84,15,96,0,93,0,76983.70,22626.942,20880.779,8.287,10549.369,30.743,17857.961,5673.737,3016.317,12180.593,9744.474,3805.696,73.322,4585.190,0.000181,-0.017392,0,10134,96,0,96,96,41091
2131,71.0,3719,410,29,1975,1744,0,0,1749,375.46,0.749,0.877,0.405,0.120,0.385,-0.709,1.723,0.4741,2.4075,0.683,0.001,0.007,0.064,-0.035,84,13,90,0,92,0,82296.56,23183.271,21735.923,9.688,11285.410,33.694,19011.678,6232.804,2980.684,13114.481,10491.585,3788.021,99.741,4880.198,0.000186,-0.017855,0,10643,90,0,90,90,42826
2161,72.0,3882,398,29,1955,1927,0,0,1811,306.27,0.764,0.897,0.421,0.122,0.368,-0.712,1.724,0.4699,2.3915,0.680,0.001,0.006,0.064,-0.040,94,11,108,0,69,0,88947.06,23906.155,24829.871,10.716,11848.328,37.679,20212.771,6619.597,3001.691,14264.642,11411.713,4029.623,241.935,5137.698,0.000164,-0.017360,0,11645,108,0,108,108,45560
2191,73.0,4011,401,29,1927,2084,0,0,1951,288.92,0.780,0.917,0.438,0.124,0.353,-0.713,1.725,0.4710,2.3919,0.685,0.001,0.008,0.064,-0.044,98,16,126,0,82,0,95931.98,24697.907,27247.312,11.789,12232.256,26.901,21570.474,7104.196,3225.788,14373.568,11498.854,4689.768,195.651,5311.500,0.000263,-0.015761,0,12288,126,0,126,126,48551
2221,74.0,4189,354,29,1898,2291,0,0,2080,327.07,0.798,0.940,0.458,0.124,0.336,-0.716,1.724,0.4716,2.3889,0.687,0.001,0.008,0.063,-0.049,74,24,115,0,96,0,103996.88,25978.813,30567.602,11.633,13221.320,26.448,23032.365,7832.660,3466.475,16905.180,13524.145,4977.985,123.132,5679.503,0.000193,-0.014983,0,13080,115,0,115,115,51547
2251,75.0,4453,327,29,1886,2567,0,0,2295,309.07,0.813,0.964,0.481,0.125,0.318,-0.720,1.725,0.4689,2.3767,0.687,0.000,0.009,0.062,-0.056,85,10,94,0,85,0,112685.80,26716.914,32717.033,9.227,13561.167,23.921,24788.652,8637.233,3829.687,18217.294,14573.835,3950.482,150.014,5754.724,0.000261,-0.012729,0,13773,94,0,94,94,54916
2281,76.0,4692,300,29,1870,2822,0,0,2534,324.64,0.829,0.984,0.502,0.126,0.303,-0.724,1.728,0.4684,2.3780,0.680,0.000,0.008,0.062,-0.060,77,15,120,0,97,0,120037.62,27753.225,35137.498,10.663,14707.312,23.853,26931.996,9505.697,4225.292,19035.365,15228.293,4864.401,108.558,6106.549,0.000292,-0.009582,0,15210,120,0,120,120,58278
2311,77.0,4868,303,29,1846,3022,0,0,2735,345.15,0.840,1.001,0.519,0.127,0.291,-0.728,1.730,0.4687,2.3651,0.687,0.001,0.008,0.061,-0.065,73,14,128,0,131,0,127417.84,28732.689,37322.703,11.187,14854.846,19.538,28732.871,10149.776,4655.689,18120.058,14496.046,5206.906,222.719,6094.392,0.000246,-0.007242,0,15852,128,0,128,128,60955
2341,78.0,5050,309,29,1834,3216,0,0,2975,237.25,0.848,1.014,0.535,0.128,0.281,-0.733,1.731,0.4646,2.3652,0.680,0.002,0.007,0.060,-0.070,64,17,173,0,142,0,134668.84,29553.405,42013.861,13.204,15335.875,16.892,30417.321,10854.255,5063.476,20572.210,16457.768,7046.219,383.937,6449.815,0.000354,-0.003636,0,16581,173,0,173,173,63781
