tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both
691,23.0,3971,547,38,429,3522,0,20,131,184.78,1.095,0.795,0.086,0.058,0.112,-0.795,1.617,0.3546,1.6623,0.677,0.040,0.029,0.136,-0.003,121,132,253,0,13,0,150950.95,6864.357,51144.317,87.766,3810.851,15.884,24274.148,11303.764,176.742,23293.532,18634.826,8332.630,849.459,1731.314,0.000209,-0.010641,684,0,223,30,253,223,46877,84,30,78.421,0,0,0,0,0,0,0
721,24.0,4116,487,38,435,3663,0,18,158,182.54,1.105,0.794,0.090,0.059,0.111,-0.800,1.627,0.3530,1.6465,0.650,0.021,0.026,0.136,-0.000,116,136,342,0,17,0,155367.05,6990.822,55570.284,91.668,4102.915,16.739,25438.236,11774.403,217.731,27379.066,21903.254,11892.885,1281.287,2156.327,0.000197,-0.009810,737,0,310,32,342,310,47728,75,32,78.083,0,0,0,0,0,0,0
751,25.0,4265,473,35,444,3805,0,16,223,179.21,1.112,0.797,0.092,0.060,0.110,-0.805,1.614,0.3611,1.6434,0.674,0.038,0.025,0.135,-0.001,111,119,335,0,9,0,161239.09,7243.161,57203.677,66.884,3838.545,17.333,26632.162,12174.011,282.625,26159.240,20927.393,11560.163,669.944,2090.934,0.000222,-0.008050,763,0,307,28,332,305,49513,69,28,48.733,0,0,0,0,0,0,0
781,26.0,4345,441,35,434,3896,0,15,263,184.53,1.123,0.802,0.093,0.062,0.108,-0.809,1.620,0.3601,1.6508,0.671,0.023,0.023,0.135,0.000,128,132,368,0,13,0,165343.27,7315.051,57592.778,115.235,4166.156,16.972,27681.993,12735.148,357.377,25642.653,20514.123,12171.935,687.056,2156.834,0.000339,-0.010042,767,0,320,48,364,316,50667,68,48,98.302,0,0,0,0,0,0,0
811,27.0,4344,466,35,404,3929,0,11,354,203.65,1.136,0.806,0.095,0.061,0.105,-0.812,1.617,0.3689,1.6252,0.666,0.017,0.023,0.135,0.001,118,152,400,0,18,0,166231.95,7065.061,57075.326,158.367,4029.524,19.309,28351.518,13025.881,456.783,24622.944,19698.355,13869.794,486.090,2295.422,0.000186,-0.009343,802,0,339,61,398,337,50166,78,61,141.586,0,0,0,0,0,0,0
841,28.0,4453,448,35,413,4030,0,10,422,191.74,1.146,0.809,0.099,0.062,0.106,-0.815,1.609,0.3715,1.6183,0.667,0.031,0.024,0.135,0.001,99,134,386,0,36,0,170336.84,7208.979,61708.584,91.582,3891.642,18.359,28916.524,13157.765,573.887,28919.194,23135.355,13503.984,779.652,2188.613,0.000332,-0.006940,791,0,352,34,386,352,49871,90,34,76.954,0,0,0,0,0,0,0
871,29.0,4525,430,35,411,4105,0,9,511,202.26,1.158,0.814,0.103,0.061,0.105,-0.818,1.608,0.3735,1.6280,0.700,0.017,0.026,0.135,-0.000,106,122,352,0,44,0,172993.17,7474.881,59836.934,91.206,3892.435,16.565,30075.477,13623.409,699.950,25895.957,20716.766,11820.718,1337.665,2010.281,0.000291,-0.008345,809,0,320,32,352,320,50092,118,32,79.191,0,0,0,0,0,0,0
901,30.0,4551,386,33,402,4144,0,5,625,212.27,1.168,0.818,0.104,0.060,0.104,-0.820,1.576,0.3860,1.6224,0.686,0.007,0.027,0.135,-0.001,107,169,383,0,44,0,174423.59,7339.236,61062.014,113.371,4768.433,16.496,30803.623,13959.089,856.116,27283.480,21826.785,12941.929,841.587,2225.159,0.000283,-0.008267,983,0,335,48,383,335,49375,136,48,99.643,0,0,0,0,0,0,0
931,31.0,4565,370,33,383,4178,0,4,766,215.22,1.176,0.818,0.108,0.060,0.102,-0.823,1.581,0.3846,1.6144,0.674,0.018,0.027,0.134,0.000,96,133,338,0,64,0,176213.17,7249.748,60106.922,106.138,3989.476,16.032,31229.384,13918.721,1039.052,24138.296,19310.637,11869.574,965.680,1823.150,0.000291,-0.007163,830,0,291,47,338,291,48816,133,47,93.306,0,0,0,0,0,0,0
961,32.0,4554,413,33,371,4179,0,4,900,201.54,1.182,0.819,0.114,0.060,0.100,-0.826,1.580,0.3780,1.6110,0.701,0.008,0.025,0.134,0.001,83,131,396,0,70,0,174912.94,6856.051,61475.467,108.808,4034.475,14.507,31429.623,13909.728,1271.400,25878.972,20703.178,14620.719,1081.987,2251.308,0.000202,-0.009184,818,0,356,40,396,356,48455,90,40,92.490,0,0,0,0,0,0,0
