tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both
9901,330.0,5999,104,28,1842,4157,0,0,4495,731.16,1.102,1.045,0.125,0.053,0.304,-0.957,1.899,0.5482,2.3746,0.671,0.090,0.646,0.156,-0.146,27,3,24,2,93,0,414904.59,52433.563,77706.608,50.788,39333.031,9.787,47768.362,19960.745,7302.077,5677.737,4542.190,5223.568,41153.594,1866.073,0.000641,-0.066790,6807,0,5,19,24,5,13839,4,19,50.775,0,0,0,0,0,0,0
9931,331.0,6000,72,28,1819,4181,0,0,4439,735.65,1.106,1.048,0.125,0.053,0.301,-0.957,1.900,0.5451,2.3759,0.676,0.083,0.656,0.156,-0.146,29,4,11,3,104,0,418964.47,51656.408,78302.237,15.396,39456.335,8.932,48195.774,20178.938,7243.972,5854.661,4683.729,5773.063,41561.976,1789.494,0.000413,-0.070707,6863,0,4,7,11,4,13725,5,7,15.389,0,0,0,0,0,0,0
9961,332.0,5997,108,28,1792,4205,0,0,4320,779.76,1.110,1.051,0.125,0.053,0.297,-0.957,1.901,0.5458,2.3560,0.667,0.086,0.657,0.156,-0.146,24,7,14,5,91,0,421012.06,50614.968,78887.514,20.805,39177.127,7.869,48584.139,20175.937,7089.994,5383.369,4306.695,5552.846,43215.842,1780.277,0.000545,-0.073319,6830,0,3,11,14,3,13685,9,11,20.805,0,0,0,0,0,0,0
9991,333.0,6000,93,28,1756,4244,0,0,4324,879.52,1.117,1.055,0.124,0.052,0.292,-0.957,1.899,0.5476,2.3735,0.675,0.079,0.652,0.156,-0.147,32,2,21,5,108,0,421140.19,49520.066,78476.960,27.533,38993.478,8.066,49033.185,20293.315,7015.841,6597.992,5278.394,5795.464,42664.353,1774.665,0.000596,-0.075318,7042,0,6,15,20,6,13532,3,14,27.449,0,0,0,0,0,0,0
10021,334.0,5998,98,28,1725,4273,0,0,4315,865.10,1.122,1.059,0.124,0.052,0.288,-0.957,1.900,0.5447,2.3737,0.691,0.074,0.656,0.156,-0.147,37,8,16,2,91,0,422456.62,48702.994,76910.740,21.134,37336.039,9.254,49531.784,20530.298,6995.016,5486.988,4389.590,5441.521,39052.533,1669.862,0.000435,-0.079056,6935,0,1,15,16,1,13162,5,15,21.133,0,0,0,0,0,0,0
10051,335.0,5999,105,28,1703,4296,0,0,4324,724.47,1.126,1.061,0.123,0.052,0.285,-0.957,1.899,0.5451,2.3669,0.672,0.065,0.649,0.156,-0.147,25,4,16,2,82,0,421571.56,47167.170,74320.434,13.642,36991.913,7.893,50001.792,20483.092,6965.568,5025.489,4020.391,4779.791,37444.689,1706.283,0.000341,-0.080092,6678,0,6,10,16,6,13198,7,10,13.635,0,0,0,0,0,0,0
10081,336.0,5995,97,28,1681,4314,0,0,4366,835.78,1.129,1.063,0.123,0.052,0.282,-0.957,1.901,0.5489,2.3744,0.679,0.065,0.639,0.156,-0.147,36,5,13,4,99,0,419192.09,45554.010,73844.077,18.413,35002.948,9.103,50443.308,20551.100,6966.834,5619.864,4495.891,5412.717,35720.988,1577.064,0.000366,-0.081464,6636,0,5,8,13,5,12978,9,8,18.336,0,0,0,0,0,0,0
10111,337.0,5997,96,28,1669,4328,0,0,4378,927.35,1.131,1.065,0.123,0.053,0.281,-0.957,1.901,0.5450,2.3720,0.685,0.058,0.627,0.156,-0.147,47,4,8,4,93,0,415861.16,44507.660,72997.094,11.575,34354.202,9.426,50814.366,20726.088,7023.424,5181.864,4145.492,4954.841,34724.752,1567.406,0.000532,-0.085787,6567,0,2,6,8,2,13055,7,6,11.571,0,0,0,0,0,0,0
10141,338.0,6000,83,28,1644,4356,0,0,4398,891.15,1.136,1.068,0.123,0.052,0.277,-0.957,1.900,0.5428,2.3697,0.680,0.053,0.604,0.155,-0.147,35,7,14,3,113,0,407880.66,42843.068,67908.311,27.895,33417.283,9.349,51252.918,20936.505,6995.846,6653.380,5322.704,5529.696,31221.384,1492.740,0.000396,-0.085546,6649,0,5,9,14,5,12648,6,9,27.877,0,0,0,0,0,0,0
10171,339.0,6000,95,28,1619,4381,0,0,4394,846.29,1.140,1.071,0.122,0.052,0.274,-0.957,1.898,0.5439,2.3815,0.688,0.049,0.576,0.155,-0.148,24,8,10,4,95,0,400845.75,41682.591,65695.575,14.067,31783.002,9.408,51697.261,21015.461,7017.667,5578.462,4462.770,4181.055,28006.414,1393.599,0.000696,-0.083489,6640,0,2,8,9,2,12686,5,7,13.782,0,0,0,0,0,0,0
10201,340.0,5999,79,29,1587,4412,0,0,4382,912.72,1.145,1.075,0.122,0.052,0.270,-0.957,1.898,0.5495,2.3752,0.691,0.042,0.539,0.155,-0.148,36,11,17,7,119,0,390967.34,39860.132,65097.031,23.042,30227.495,8.324,52161.650,21137.925,6946.828,7332.409,5865.927,5774.337,25944.181,1427.204,0.000481,-0.081166,6473,0,9,8,17,9,12389,5,8,22.980,0,0,0,0,0,0,0
