tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both
1291,43.0,2393,574,13,51,2174,163,5,47,163.88,1.170,1.105,1.220,0.117,0.100,-0.678,2.399,0.6232,1.6823,0.580,0.059,0.024,0.135,0.020,97,192,383,0,8,0,89357.54,1239.256,40046.642,7559.041,337.374,14.507,23842.367,9464.582,82.439,19307.922,15446.338,8212.829,981.585,5733.580,0.000227,0.020718,56,0,364,19,19,17,26811,0,19,6.659,4692,1921,1901,347,1,1550,2
1321,44.0,2196,649,13,42,1965,184,5,46,141.82,1.189,1.105,1.230,0.128,0.099,-0.654,2.264,0.7133,1.6594,0.639,0.048,0.021,0.132,0.023,101,181,413,0,4,0,81629.25,1120.492,35438.466,8676.811,213.671,16.942,22655.604,9194.765,76.517,17425.496,13940.397,9668.644,1397.778,6485.644,0.000182,0.020617,33,0,388,25,20,17,25106,0,25,10.892,5069,2024,2005,371,0,1633,0
1351,45.0,1957,621,13,39,1728,185,5,40,161.13,1.206,1.104,1.234,0.135,0.102,-0.641,2.255,0.6639,1.6303,0.632,0.077,0.024,0.130,0.022,83,190,385,0,7,0,73899.13,892.784,31734.368,8028.239,220.496,14.422,20916.929,8369.491,74.284,15009.965,12007.973,8788.637,1010.033,6224.144,0.000134,0.020918,25,0,370,15,27,24,24074,0,15,8.820,5410,1840,1825,346,0,1476,2
1381,46.0,1739,669,13,37,1491,204,7,37,172.51,1.232,1.104,1.236,0.148,0.104,-0.613,2.311,0.5752,1.5930,0.648,0.027,0.025,0.127,0.025,77,144,398,0,9,0,64402.88,768.487,27356.092,8799.984,169.827,10.772,18999.675,7669.805,67.508,14837.531,11870.025,9486.083,748.030,6482.206,0.000152,0.021077,29,0,383,15,22,22,22632,0,15,3.149,5779,1963,1953,359,2,1591,0
1411,47.0,1498,804,13,40,1256,194,8,26,170.21,1.252,1.105,1.251,0.147,0.110,-0.599,2.299,0.5856,1.5543,0.618,0.025,0.020,0.126,0.026,85,132,360,0,12,0,56292.35,748.365,23853.294,7872.645,116.678,14.529,16978.463,6774.343,50.852,11763.414,9410.731,8344.580,580.221,5503.698,0.000119,0.021534,18,0,351,9,15,14,21276,0,9,3.272,5839,1803,1795,336,2,1456,1
1441,48.0,1368,819,13,43,1134,179,12,19,176.23,1.263,1.112,1.262,0.154,0.115,-0.597,2.283,0.5829,1.5365,0.668,0.023,0.018,0.125,0.025,80,130,256,0,6,0,51903.57,849.826,23511.593,5431.006,69.641,12.576,15325.041,6001.806,39.556,11778.459,9422.767,5590.167,817.688,4051.253,0.000154,0.021315,10,0,249,7,14,14,19612,0,7,1.168,5497,1492,1484,235,0,1249,0
1471,49.0,1249,770,13,46,1019,172,12,18,164.83,1.266,1.111,1.285,0.157,0.121,-0.590,2.273,0.5545,1.5270,0.638,0.043,0.019,0.125,0.024,82,117,231,0,2,0,47247.99,863.062,20328.699,4803.494,110.746,8.828,14191.278,5090.130,28.514,10118.249,8094.599,5130.923,460.713,3725.634,0.000102,0.020895,17,0,217,14,19,17,18217,0,14,5.438,5216,1075,1063,200,0,859,4
1501,50.0,1105,793,13,50,876,165,14,14,161.65,1.279,1.112,1.287,0.164,0.126,-0.571,2.229,0.5401,1.5159,0.666,0.040,0.017,0.123,0.025,65,106,239,0,2,0,42458.61,863.097,18085.966,5190.567,58.335,9.493,12981.673,4511.452,20.315,9128.588,7302.870,5621.292,534.181,3434.378,0.000091,0.020198,9,0,226,13,9,8,16239,0,13,3.562,4874,964,952,217,0,735,0
1531,51.0,1034,834,13,63,804,147,20,10,156.65,1.281,1.108,1.289,0.162,0.137,-0.572,2.233,0.5478,1.4962,0.637,0.032,0.011,0.123,0.024,61,92,186,0,1,0,38709.98,899.050,16985.190,4306.544,124.117,11.192,11957.607,4107.300,18.559,9334.605,7467.684,4552.649,431.485,3004.887,0.000113,0.020418,19,0,179,7,12,10,14603,0,7,6.313,4595,905,902,169,0,733,0
1561,52.0,937,789,13,65,724,126,22,6,141.85,1.292,1.105,1.286,0.158,0.144,-0.581,2.266,0.5334,1.4825,0.674,0.031,0.015,0.122,0.022,76,89,173,0,1,0,36446.40,1076.057,16444.267,3607.277,133.851,13.939,11200.071,3751.823,12.387,7649.400,6119.520,3913.869,135.097,2848.056,0.000103,0.019393,28,0,165,8,16,13,13602,8,8,9.768,4226,731,728,145,0,583,0
