tick,sim_second,organisms,food,species,plants,foragers,predators,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event
10531,351.0,2000,1628,25,1893,3,104,501,2041.30,0.615,0.415,0.143,0.078,0.619,0.146,0.048,167,1,20,6,3,0
10561,352.0,2000,1474,25,1886,3,111,483,1977.71,0.617,0.418,0.142,0.081,0.617,0.146,0.048,146,1,15,2,10,0
10591,353.0,2000,1315,25,1881,3,116,485,2015.46,0.617,0.420,0.143,0.083,0.616,0.146,0.049,165,0,16,4,4,0
10621,354.0,2000,1200,25,1883,3,114,471,2118.40,0.616,0.419,0.143,0.082,0.617,0.146,0.049,177,1,17,6,12,0
10651,355.0,2000,1090,25,1883,3,114,463,2201.46,0.616,0.419,0.143,0.082,0.617,0.146,0.049,165,0,20,5,8,0
10681,356.0,2000,956,25,1881,3,116,476,2162.22,0.616,0.420,0.141,0.083,0.616,0.146,0.050,157,0,13,3,7,0
10711,357.0,2000,861,25,1882,3,115,478,2140.30,0.616,0.420,0.140,0.083,0.616,0.146,0.050,171,1,11,2,4,0
10741,358.0,2000,815,25,1882,3,115,492,2129.61,0.616,0.420,0.138,0.082,0.616,0.146,0.050,159,1,19,2,3,0
10771,359.0,2000,807,25,1886,3,111,482,2146.30,0.615,0.418,0.138,0.080,0.618,0.146,0.049,181,1,12,5,11,0
10801,360.0,2000,783,25,1890,2,108,478,2253.21,0.614,0.416,0.138,0.078,0.619,0.146,0.050,143,1,16,4,5,0
10831,361.0,2000,783,25,1894,2,104,505,2195.00,0.613,0.415,0.137,0.077,0.620,0.145,0.050,170,2,24,2,8,0
10861,362.0,2000,801,25,1898,2,100,507,2100.72,0.611,0.413,0.138,0.075,0.621,0.145,0.050,186,0,25,2,6,0
10891,363.0,2000,791,25,1899,2,99,507,2027.94,0.612,0.412,0.136,0.075,0.622,0.145,0.049,167,0,16,5,10,0
10921,364.0,2000,797,25,1901,2,97,516,2128.85,0.612,0.411,0.135,0.074,0.623,0.145,0.050,161,0,17,7,8,0
10951,365.0,2000,846,25,1902,2,96,525,2155.35,0.611,0.410,0.136,0.073,0.623,0.145,0.050,166,0,11,5,4,0
10981,366.0,2000,883,25,1902,2,96,537,2172.99,0.612,0.410,0.135,0.073,0.623,0.145,0.050,154,0,17,4,5,0
11011,367.0,2000,965,25,1903,2,95,551,2165.98,0.611,0.410,0.132,0.072,0.624,0.145,0.050,186,2,15,9,7,0
11041,368.0,2000,1034,25,1907,2,91,531,2252.24,0.611,0.408,0.132,0.071,0.625,0.145,0.049,169,2,15,6,8,0
11071,369.0,2000,1110,25,1909,2,89,549,2338.00,0.609,0.407,0.133,0.070,0.626,0.145,0.049,161,1,8,6,5,0
11101,370.0,2000,1171,25,1909,2,89,533,2373.03,0.610,0.407,0.131,0.070,0.626,0.145,0.049,185,0,11,6,10,0
11131,371.0,2000,1289,25,1912,2,86,549,2401.60,0.610,0.406,0.131,0.069,0.627,0.145,0.049,162,0,15,4,7,0
11161,372.0,2000,1427,25,1913,2,85,542,2353.21,0.610,0.405,0.130,0.068,0.627,0.145,0.049,167,0,9,3,8,0
11191,373.0,2000,1590,25,1916,2,82,534,2301.43,0.609,0.404,0.131,0.068,0.628,0.145,0.049,179,2,17,5,5,0
11221,374.0,2000,1706,25,1911,2,87,529,2434.64,0.609,0.405,0.133,0.069,0.627,0.146,0.049,179,0,12,6,6,0
11251,375.0,2000,1827,24,1907,2,91,509,2357.17,0.610,0.407,0.133,0.070,0.626,0.146,0.050,157,0,11,2,9,0
11281,376.0,2000,1960,24,1908,2,90,506,2254.04,0.610,0.407,0.133,0.070,0.626,0.146,0.050,154,0,19,1,7,0
11311,377.0,2000,2181,24,1910,2,88,504,2142.48,0.609,0.406,0.133,0.069,0.627,0.145,0.050,164,0,21,6,6,0
