tick,sim_second,organisms,food,species,plants,foragers,predators,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event
2371,79.0,2000,1568,65,1223,737,40,233,440.33,0.713,0.696,0.227,0.055,0.422,0.096,0.012,77,4,124,0,4,0
2401,80.0,2000,1776,55,1203,759,38,217,476.42,0.720,0.704,0.236,0.055,0.415,0.095,0.011,64,2,122,0,4,0
2431,81.0,2000,1766,55,1185,777,38,218,485.04,0.727,0.710,0.244,0.055,0.410,0.095,0.011,78,2,113,0,5,0
2461,82.0,2000,1769,55,1150,811,39,214,406.21,0.739,0.721,0.253,0.057,0.399,0.096,0.011,68,3,117,0,4,0
2491,83.0,2000,1833,55,1122,840,38,210,435.70,0.749,0.732,0.262,0.057,0.391,0.097,0.011,57,4,109,0,5,0
2521,84.0,2000,1898,55,1112,851,37,193,522.96,0.755,0.736,0.263,0.057,0.388,0.098,0.013,63,1,107,0,2,0
2551,85.0,2000,1832,51,1087,876,37,190,458.44,0.763,0.745,0.269,0.058,0.381,0.099,0.015,62,2,119,0,3,0
2581,86.0,2000,1838,51,1086,881,33,197,440.55,0.761,0.744,0.274,0.056,0.381,0.100,0.014,73,3,94,0,5,0
2611,87.0,2000,1914,51,1067,901,32,198,432.22,0.766,0.752,0.277,0.056,0.376,0.102,0.014,74,3,104,0,5,0
2641,88.0,2000,1926,51,1042,926,32,194,424.10,0.774,0.761,0.285,0.057,0.370,0.102,0.014,64,1,96,0,2,0
2671,89.0,2000,1826,51,1027,939,34,196,441.49,0.778,0.765,0.297,0.059,0.365,0.104,0.015,73,2,109,0,4,0
2701,90.0,2000,1841,49,1002,967,31,210,485.40,0.787,0.775,0.309,0.059,0.359,0.105,0.018,61,1,99,0,2,0
2731,91.0,2000,1812,49,997,973,30,218,540.92,0.788,0.775,0.319,0.060,0.357,0.107,0.018,63,2,62,0,4,0
2761,92.0,2000,1955,49,980,991,29,238,532.50,0.792,0.780,0.327,0.060,0.352,0.108,0.018,55,3,53,0,4,0
2791,93.0,2000,1999,49,974,998,28,232,483.40,0.792,0.780,0.340,0.060,0.351,0.109,0.017,49,3,85,0,6,0
2821,94.0,2000,1890,49,951,1022,27,231,457.52,0.800,0.787,0.354,0.061,0.345,0.111,0.017,59,2,70,0,2,0
2851,95.0,2000,1750,48,932,1043,25,235,471.65,0.806,0.791,0.362,0.061,0.340,0.111,0.015,55,1,75,0,2,0
2881,96.0,2000,1737,48,923,1051,26,242,520.45,0.808,0.792,0.368,0.061,0.337,0.112,0.015,51,3,65,0,3,0
2911,97.0,2000,1660,48,918,1057,25,236,559.23,0.809,0.794,0.373,0.061,0.337,0.114,0.014,49,3,69,0,7,0
2941,98.0,2000,1634,48,907,1068,25,241,565.51,0.813,0.798,0.375,0.061,0.334,0.114,0.015,59,2,54,0,5,0
2971,99.0,2000,1502,48,900,1076,24,242,561.66,0.814,0.800,0.380,0.061,0.332,0.116,0.016,50,3,40,0,2,0
3001,100.0,2000,1485,48,903,1074,23,263,591.92,0.813,0.798,0.384,0.061,0.334,0.117,0.015,55,3,55,0,3,0
3031,101.0,2000,1464,48,897,1080,23,270,579.72,0.815,0.799,0.386,0.061,0.332,0.117,0.015,54,4,48,0,4,0
3061,102.0,2000,1390,48,892,1085,23,279,600.84,0.816,0.799,0.390,0.062,0.331,0.118,0.014,69,2,49,0,4,0
3091,103.0,2000,1256,48,892,1085,23,285,570.47,0.814,0.799,0.391,0.062,0.331,0.119,0.014,56,5,51,0,5,0
3121,104.0,2000,1156,48,884,1090,26,273,600.96,0.816,0.803,0.395,0.064,0.330,0.119,0.015,59,4,48,0,8,0
3151,105.0,2000,1173,48,876,1094,30,290,603.42,0.820,0.806,0.397,0.067,0.327,0.120,0.015,48,3,31,0,1,0
3181,106.0,2000,1079,48,872,1094,34,306,611.89,0.821,0.808,0.398,0.069,0.326,0.120,0.015,58,4,34,0,9,0
3211,107.0,2000,982,48,867,1099,34,307,653.35,0.823,0.809,0.401,0.069,0.326,0.120,0.015,62,3,35,0,5,0
3241,108.0,2000,861,48,861,1105,34,311,697.74,0.823,0.811,0.402,0.069,0.325,0.121,0.016,47,5,33,0,8,0
3271,109.0,2000,794,48,864,1109,27,329,693.85,0.821,0.809,0.408,0.068,0.326,0.122,0.016,56,6,41,1,4,0
3301,110.0,2000,699,46,857,1119,24,350,707.35,0.822,0.813,0.411,0.068,0.324,0.123,0.016,60,8,38,0,2,0
3331,111.0,2000,676,46,861,1115,24,345,734.42,0.819,0.812,0.412,0.067,0.327,0.124,0.017,63,3,41,0,5,0
3361,112.0,2000,622,46,868,1109,23,335,722.53,0.815,0.809,0.417,0.067,0.329,0.125,0.018,56,3,43,0,8,0
